Chart-1	6	212	1909	2765	6	6	6	6	
Chart-2	137	108	43	302	134	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	17	353	404	17	20	82	82	607	
Chart-5	3	28	47	181	3	3	3	3	
Chart-6	16	7	16	32	118	57	57	104	
Chart-7	74	72	164	59	59	74	74	74	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	16	192	91	844	35	16	16	16	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	1153	1694	5	5	5	5	
Chart-15	13	552	4048	5867	13	13	13	13	
Chart-16	1	14	1	1	1	1	1	1	
Chart-17	1	63	98	436	1	1	1	1	
Chart-20	2	1	25	185	2	2	2	2	
Chart-21	6	68	18	101	6	6	6	6	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3267	3267	3267	3267	3098	3267	3248	2945	
Chart-26	3	371	1648	3	3	3	3	264	
Lang-1	3	33	21	153	3	3	3	3	
Lang-2	17	9	2	80	26	17	17	17	
Lang-3	12	43	34	147	30	12	12	12	
Lang-4	2	2	2	2	2	2	2	2	
Lang-5	5	12	5	27	5	5	5	5	
Lang-6	99	16	32	72	99	99	99	99	
Lang-7	114	138	19	214	114	114	114	114	
Lang-9	61	38	648	289	62	68	68	77	
Lang-10	60	58	55	304	76	68	68	68	
Lang-12	4	4	4	4	4	4	4	8	
Lang-14	5	5	5	5	5	5	5	5	
Lang-15	183	183	183	183	183	183	183	261	
Lang-16	4	22	40	209	4	4	4	4	
Lang-17	116	33	116	2	106	116	116	116	
Lang-18	10	44	23	42	10	10	10	10	
Lang-19	2	14	3	2	2	2	2	2	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	132	35	26	26	34	
Lang-26	7	116	7	184	128	7	7	7	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	11	30	12	48	11	11	11	11	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	5	3	3	2	3	5	5	5	
Lang-34	5	105	36	5	284	53	61	145	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	6	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	21	53	30	189	21	21	21	21	
Lang-44	3	3	3	9	3	3	3	3	
Lang-46	1	3	1	44	1	1	1	1	
Lang-47	35	35	35	86	35	35	9	5	
Lang-48	2	9	5	5	2	2	2	2	
Lang-50	141	141	141	141	194	141	141	21	
Lang-53	117	123	44	13	123	123	106	106	
Lang-54	10	15	10	35	10	10	10	10	
Lang-55	6	14	6	40	22	6	6	6	
Lang-59	6	12	305	630	6	6	6	6	
Lang-60	13	49	107	635	13	13	13	13	
Lang-61	11	49	24	225	11	11	11	24	
Lang-62	112	157	121	175	157	157	176	176	
Lang-63	21	25	24	118	21	21	21	21	
Lang-64	4	36	4	131	4	4	4	4	
Lang-65	9	9	9	9	9	9	9	9	
Math-1	361	407	701	1083	361	23	19	11	
Math-2	38	34	9	270	118	38	38	38	
Math-6	70	23	107	70	6	69	172	17	
Math-7	81	358	337	653	81	81	81	81	
Math-11	8	35	55	675	8	8	8	8	
Math-13	202	177	7266	75	147	202	202	202	
Math-14	92	98	6280	72	91	92	92	92	
Math-15	633	13	305	13	633	633	633	633	
Math-16	592	591	1008	1	592	592	592	592	
Math-17	44	480	70	1058	463	44	44	44	
Math-21	84	115	71	105	84	84	84	89	
Math-23	148	243	14	117	237	148	148	148	
Math-24	150	101	16	167	310	150	150	150	
Math-26	369	42	26	123	432	369	369	369	
Math-27	1	28	106	294	1	1	1	1	
Math-28	12	209	2	309	12	12	12	12	
Math-29	197	198	125	164	160	11	11	6	
Math-30	28	266	28	38	28	28	28	28	
Math-31	29	35	1	349	262	178	178	194	
Math-33	24	103	24	352	357	24	24	24	
Math-34	4	15	24	114	4	4	4	4	
Math-35	9	14	9	9	8	9	9	8	
Math-36	355	355	1	344	355	1	1	1	
Math-37	247	247	238	452	230	12	5	3	
Math-40	34	97	23	447	67	34	34	34	
Math-41	35	84	258	642	35	35	35	35	
Math-42	71	319	71	339	326	71	71	71	
Math-43	44	125	44	44	199	52	59	85	
Math-44	14	111	384	169	63	14	14	14	
Math-45	2	7	2	484	2	2	2	2	
Math-46	2	16	322	458	2	2	2	2	
Math-47	1	14	373	11	1	1	1	1	
Math-48	358	680	677	845	358	358	358	358	
Math-49	24	412	417	1224	24	24	24	24	
Math-50	1	62	16	760	1	1	1	1	
Math-52	22	368	36	604	22	22	22	22	
Math-53	2	13	5	51	13	2	2	2	
Math-54	7	500	59	1846	7	7	7	7	
Math-55	20	23	20	86	20	20	20	20	
Math-57	4	332	4	425	2527	4	4	4	
Math-58	515	56	520	532	515	515	515	515	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	37	31	37	1	88	37	37	37	
Math-65	4	235	111	312	4	4	4	4	
Math-66	13	6	9	13	15	15	59	504	
Math-68	128	12	128	1	63	128	128	129	
Math-69	12	17	10	48	134	12	12	12	
Math-74	786	970	751	140	355	786	786	786	
Math-76	120	91	117	120	298	120	120	152	
Math-79	30	3	22	433	30	30	30	30	
Math-81	10	144	321	45	10	10	10	10	
Math-82	217	207	1984	203	169	217	217	217	
Math-83	20	196	18	160	163	20	20	20	
Math-84	20	78	20	20	20	20	20	46	
Math-85	96	110	15	158	96	96	96	96	
Math-86	4	75	4	108	74	57	57	61	
Math-87	117	137	127	161	139	117	117	117	
Math-88	1	208	21	234	1	1	1	1	
Math-89	1	4	1	95	1	1	1	1	
Math-90	3	4	3	89	6	3	3	3	
Math-92	3	14	5	37	3	3	3	3	
Math-93	1	2	31	111	1	1	1	1	
Math-94	1	1	1	1	1	1	1	1	
Math-95	14	49	45	102	14	14	14	14	
Math-96	6	14	1	24	16	6	6	6	
Math-97	1	9	13	76	1	1	1	1	
Math-98	4	27	39	774	4	4	4	4	
Math-99	27	24	23	14	27	4	4	4	
Math-100	9	142	175	284	28	9	9	9	
Math-101	12	36	12	115	36	12	12	12	
Math-103	32	40	2	83	47	32	32	32	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	3	1	1	3	3	3	3	3	
Mockito-3	1	460	137	1	1	1	1	2	
Mockito-5	2430	2914	2433	2996	2914	2914	2996	2996	
Mockito-6	856	861	345	1672	799	2	1	2	
Mockito-9	517	433	575	168	81	534	534	534	
Mockito-10	130	402	57	246	130	130	130	130	
Mockito-11	1	17	126	505	1	1	1	1	
Mockito-12	5	5	5	5	5	5	5	5	
Mockito-13	217	507	508	408	495	217	217	217	
Mockito-14	197	489	189	66	74	197	197	197	
Mockito-16	6	327	371	108	62	6	6	6	
Mockito-17	19	19	19	19	19	19	19	19	
Mockito-18	9	247	40	369	266	9	9	9	
Mockito-20	26	124	414	26	363	68	68	116	
Mockito-21	1	8	7	215	1	1	1	1	
Mockito-22	151	2	840	106	67	151	151	151	
Mockito-23	12	555	734	88	12	12	12	12	
Mockito-24	1	525	691	2407	1	1	1	1	
Mockito-25	46	417	67	46	46	61	63	73	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-28	270	420	978	362	361	270	270	270	
Mockito-29	1431	1007	683	734	1007	1007	767	767	
Mockito-32	2	347	536	24	24	2	2	2	
Mockito-33	62	339	17	523	377	116	116	188	
Mockito-34	26	281	24	710	374	49	49	95	
Mockito-35	426	426	189	603	315	14	14	4	
Mockito-36	173	219	178	240	173	173	173	370	
Mockito-37	2	31	2	613	249	3	3	3	
Mockito-38	762	811	670	1004	811	811	1004	1004	
Time-1	2	134	703	1956	2	2	2	2	
Time-2	3	279	896	2091	3	3	3	3	
Time-3	1	775	730	136	1	1	1	1	
Time-4	29	675	1109	3490	238	29	29	29	
Time-5	2	63	374	1728	192	2	26	68	
Time-7	14	383	2065	3713	14	14	14	14	
Time-8	64	69	894	1493	64	64	64	64	
Time-9	3	67	787	1450	3	3	3	3	
Time-10	209	411	783	3213	399	212	215	221	
Time-11	412	300	23	1558	1205	412	412	412	
Time-12	1532	1533	1067	2534	1231	20	3	2	
Time-14	2	1490	999	2	2	3	3	5	
Time-15	1	2	108	153	1	1	1	1	
Time-17	1	488	1192	3518	1	1	1	1	
Time-18	3	569	910	1980	193	3	3	3	
Time-19	190	93	213	1414	488	190	190	190	
Time-21	20	541	970	1891	20	20	20	22	
Time-22	17	248	296	2183	225	18	18	18	
Time-23	15	83	347	1131	109	15	15	15	
Time-27	344	1220	228	959	1246	344	344	344	
Chart-1	6	212	1872	2459	6	6	6	6	
Chart-2	137	108	43	302	134	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	6	353	573	6	6	6	6	50	
Chart-5	6	28	5	244	16	6	6	6	
Chart-6	16	7	16	32	118	57	57	104	
Chart-7	74	72	164	59	59	74	74	74	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	13	192	123	459	13	13	13	13	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	1161	1694	5	5	5	5	
Chart-15	12	552	2196	4706	12	12	12	12	
Chart-16	1	14	1	1	1	1	1	1	
Chart-17	1	63	98	436	1	1	1	1	
Chart-20	5	1	1	85	23	5	5	5	
Chart-21	7	68	18	104	7	7	7	7	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3267	3267	3267	3267	3098	3267	3248	2945	
Chart-26	63	371	1485	63	63	63	63	340	
Chart-1	6	212	1912	2811	6	6	6	6	
Chart-2	137	108	43	302	134	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	6	353	573	6	6	6	6	31	
Chart-5	3	28	47	181	3	3	3	3	
Chart-6	16	7	16	32	118	57	57	104	
Chart-7	74	72	164	59	59	74	74	74	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	16	192	128	426	16	16	16	16	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	1161	1694	5	5	5	5	
Chart-15	12	552	2199	5642	12	12	12	12	
Chart-16	1	14	1	1	1	1	1	1	
Chart-17	1	63	98	436	1	1	1	1	
Chart-20	5	1	1	84	39	5	5	5	
Chart-21	6	68	18	101	6	6	6	6	
Chart-1	6	212	1966	3354	6	6	6	6	
Chart-2	137	108	43	302	134	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	17	353	404	17	20	82	82	607	
Chart-5	3	28	47	181	3	3	3	3	
Chart-6	16	7	16	32	118	57	57	104	
Chart-7	74	72	164	59	59	74	74	74	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	13	192	123	459	13	13	13	13	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	1153	1694	5	5	5	5	
Chart-15	13	552	2196	4596	13	13	13	13	
Chart-16	1	14	1	1	1	1	1	1	
Chart-17	1	63	98	436	1	1	1	1	
Chart-20	5	1	1	85	23	5	5	5	
Chart-21	8	68	13	99	8	8	8	8	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3267	3267	3267	3267	3098	3267	3248	2945	
Chart-26	180	371	1036	180	180	180	180	661	
Lang-1	3	33	21	153	3	3	3	3	
Lang-2	2	9	2	24	2	2	2	2	
Lang-3	10	43	39	120	10	10	10	10	
Lang-4	2	2	2	2	2	2	2	2	
Lang-5	5	12	5	27	5	5	5	5	
Lang-6	99	16	32	72	99	99	99	99	
Lang-7	114	138	19	214	114	114	114	114	
Lang-9	61	38	648	289	62	68	68	77	
Lang-10	60	58	55	304	76	68	68	68	
Lang-12	4	4	4	4	4	4	4	8	
Lang-14	4	5	123	658	4	4	4	4	
Lang-15	183	183	183	183	183	183	183	261	
Lang-16	4	22	40	209	4	4	4	4	
Lang-17	115	33	103	2	17	115	115	115	
Lang-18	10	44	10	42	10	10	10	10	
Lang-19	5	14	2	25	16	7	7	7	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	132	35	26	26	34	
Lang-26	7	116	7	184	128	7	7	7	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	11	30	12	48	11	11	11	11	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	5	3	3	2	3	5	5	5	
Lang-34	5	105	36	5	284	53	61	145	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	6	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	21	53	30	189	21	21	21	21	
Lang-44	3	3	3	9	3	3	3	3	
Lang-46	1	3	1	44	1	1	1	1	
Lang-47	35	35	35	86	35	35	9	5	
Lang-48	2	9	5	5	2	2	2	2	
Lang-50	141	141	141	141	194	141	141	21	
Lang-53	117	123	44	13	123	123	106	106	
Lang-54	10	15	10	35	10	10	10	10	
Lang-55	6	14	6	40	22	6	6	6	
Lang-59	6	12	305	630	6	6	6	6	
Lang-60	16	49	107	621	16	16	16	16	
Lang-61	11	49	24	225	11	11	11	24	
Lang-62	112	157	121	175	157	157	176	176	
Lang-63	21	25	24	110	21	21	21	21	
Lang-64	4	36	4	131	4	4	4	4	
Lang-65	7	9	7	54	7	7	7	7	
Math-1	357	407	764	866	40	26	10	1	
Math-2	38	34	9	275	103	38	38	38	
Math-6	70	23	107	70	6	69	172	17	
Math-7	101	358	416	810	101	101	101	101	
Math-11	8	35	55	675	8	8	8	8	
Math-13	202	177	7266	75	138	202	202	202	
Math-14	95	98	6369	72	72	95	95	95	
Math-15	633	13	305	13	633	633	633	633	
Math-16	592	591	1007	1	592	592	592	592	
Math-17	53	480	61	679	53	53	53	53	
Math-21	40	115	88	61	40	40	40	45	
Math-23	148	243	14	117	237	148	148	148	
Math-24	150	101	16	167	310	150	150	150	
Math-26	369	42	26	123	432	369	369	369	
Math-27	1	28	142	266	1	1	1	1	
Math-28	12	209	6	298	12	12	12	12	
Math-29	197	198	125	152	159	11	11	6	
Math-30	28	266	28	38	28	28	28	28	
Math-31	29	35	18	346	262	103	103	194	
Math-33	25	103	22	353	359	25	25	25	
Math-34	4	15	19	146	4	4	4	4	
Math-35	9	14	9	9	8	9	9	8	
Math-36	355	355	1	344	355	1	1	1	
Math-37	247	247	238	452	230	12	5	3	
Math-40	34	97	23	447	67	34	34	34	
Math-41	35	84	258	642	35	35	35	35	
Math-42	71	319	71	339	326	71	71	71	
Math-43	44	125	44	44	199	52	59	85	
Math-44	14	111	384	169	63	14	14	14	
Math-45	2	7	2	484	2	2	2	2	
Math-46	1	16	330	459	1	1	1	1	
Math-47	1	14	5	11	1	1	1	1	
Math-48	355	680	1	504	738	355	355	355	
Math-49	27	412	417	473	27	27	27	27	
Math-50	1	62	21	45	1	1	1	1	
Math-52	22	368	36	597	22	22	22	22	
Math-53	2	13	6	117	2	2	2	2	
Math-54	10	500	58	1854	10	10	10	10	
Math-55	23	23	23	23	23	23	23	23	
Math-57	3	332	3	2572	332	3	3	3	
Math-58	515	56	520	532	515	515	515	515	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	37	31	37	1	88	37	37	37	
Math-65	4	235	111	312	4	4	4	4	
Math-66	13	6	9	13	15	15	59	504	
Math-68	136	12	136	158	11	136	136	136	
Math-69	12	17	10	65	131	12	12	12	
Math-74	857	970	906	239	334	857	857	857	
Math-76	69	91	68	69	284	69	69	101	
Math-79	30	3	22	433	30	30	30	30	
Math-81	10	144	321	45	10	10	10	10	
Math-82	217	207	1957	204	171	217	217	217	
Math-83	21	196	18	162	165	21	21	21	
Math-84	20	78	20	20	20	20	20	46	
Math-85	69	110	56	467	69	69	69	69	
Math-86	4	75	4	108	74	57	57	61	
Math-87	117	137	117	171	151	117	117	117	
Math-88	1	208	21	234	1	1	1	1	
Math-89	1	4	1	95	1	1	1	1	
Math-90	1	4	1	1	1	1	1	1	
Math-92	3	14	5	37	3	3	3	3	
Math-93	1	2	31	111	1	1	1	1	
Math-94	1	1	21	96	1	1	1	1	
Math-95	9	49	47	116	9	9	9	9	
Math-96	7	14	1	19	16	7	7	7	
Math-97	7	9	22	39	7	7	7	7	
Math-98	4	27	39	774	4	4	4	4	
Math-99	27	24	23	14	27	4	4	4	
Math-100	9	142	175	284	28	9	9	9	
Math-101	12	36	12	115	36	12	12	12	
Math-103	32	40	2	83	47	32	32	32	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	3	1	1	3	3	3	3	3	
Mockito-3	3	460	247	3	3	3	3	6	
Mockito-5	2430	2914	2433	2996	2914	2914	2996	2996	
Mockito-6	856	861	355	1576	752	2	1	2	
Mockito-9	517	433	575	168	81	534	534	534	
Mockito-10	400	402	400	407	400	400	400	400	
Mockito-11	1	17	126	505	1	1	1	1	
Mockito-12	5	5	5	5	5	5	5	5	
Mockito-13	186	507	1143	370	402	186	186	186	
Mockito-14	148	489	140	66	74	148	148	148	
Mockito-16	6	327	352	107	6	6	6	6	
Mockito-17	4	19	442	59	4	4	4	4	
Mockito-18	9	247	40	369	266	9	9	9	
Mockito-20	26	124	313	26	363	68	69	116	
Mockito-21	1	8	7	215	1	1	1	1	
Mockito-22	11	2	19	313	211	11	11	11	
Mockito-23	3	555	840	88	3	3	3	3	
Mockito-24	1	525	1263	1941	1	1	1	1	
Mockito-25	4	417	165	4	4	4	4	4	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-28	270	420	978	362	361	270	270	270	
Mockito-29	1431	1007	683	734	1007	1007	767	767	
Mockito-32	2	347	536	24	24	2	2	2	
Mockito-33	38	339	453	711	431	91	91	153	
Mockito-34	39	281	37	712	572	73	74	128	
Mockito-35	423	426	82	909	397	9	9	12	
Mockito-36	13	219	469	384	230	17	17	127	
Mockito-37	4	31	4	366	256	5	5	10	
Mockito-38	1274	811	229	568	787	811	637	637	
Time-1	2	134	1231	3038	2	2	2	2	
Time-2	2	279	892	2071	2	2	2	2	
Time-3	1	775	730	136	1	1	1	1	
Time-4	29	675	1163	3759	219	29	29	29	
Time-5	1	63	524	1568	1	1	1	1	
Time-7	5	383	2321	3392	5	5	5	5	
Time-8	66	69	896	1537	66	66	66	66	
Time-9	16	67	888	1465	16	16	16	16	
Time-10	279	411	819	3269	469	282	285	291	
Time-11	412	300	23	1558	1205	412	412	412	
Time-12	1532	1533	1067	2534	1231	20	3	2	
Time-14	6	1490	1016	6	6	7	7	12	
Time-15	2	2	55	96	2	2	2	2	
Time-17	1	488	1834	3185	1	1	1	1	
Time-18	3	569	834	2052	193	3	3	3	
Time-19	184	93	214	1415	864	184	184	184	
Time-21	1	541	730	2467	1	1	1	4	
Time-22	15	248	298	2187	223	16	16	16	
Time-23	15	83	412	1332	108	15	15	15	
Time-27	346	1220	196	960	1248	346	346	346	
Chart-1	9	212	1873	2731	9	9	9	9	
Chart-2	137	108	199	351	137	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	6	353	573	6	6	6	6	50	
Chart-5	3	28	47	181	3	3	3	3	
Chart-6	16	7	16	32	118	57	57	104	
Chart-7	74	72	164	59	59	74	74	74	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	14	192	97	848	33	14	14	14	
Chart-11	5	5	43	48	5	5	5	5	
