Chart-1	37	91	37
Chart-2	16	3	2	
Chart-3	2	2	2	
Chart-4	60	30	30	
Chart-5	3	3	3	
Chart-6	221	3	3	
Chart-7	12	0	0	
Chart-8	2	2	2	
Chart-9	1	6	1	
Chart-11	15	15	15	
Chart-12	3	21	3	
Chart-15	2	30	2	
Chart-16	6	6	6	
Chart-17	2	3	2	
Chart-20	94	29	27	
Chart-21	1	2	1	
Chart-22	3	0	0	
Chart-25	1	1	1	
Chart-26	3	108	3	
Lang-1	3	3	3	
Lang-2	5	5	5	
Lang-3	4	5	4	
Lang-4	30	30	30	
Lang-5	4	4	4	
Lang-6	30	24	18	
Lang-7	3	3	2	
Lang-9	111	2	2	
Lang-10	107	20	20	
Lang-12	2	3	2	
Lang-14	16	16	16	
Lang-15	3	4	3	
Lang-16	2	2	2	
Lang-17	33	16	15	
Lang-18	46	21	20	
Lang-19	9	4	4	
Lang-20	4	0	0	
Lang-22	8	0	0	
Lang-26	30	0	0	
Lang-27	1	0	0	
Lang-28	2	3	2	
Lang-30	19	0	0	
Lang-31	4	0	0	
Lang-32	44	0	0	
Lang-34	84	0	0	
Lang-36	1	0	0	
Lang-37	3	0	0	
Lang-39	1	0	0	
Lang-40	1	0	0	
Lang-41	34	0	0	
Lang-42	5	24	5	
Lang-44	2	2	2	
Lang-46	4	4	4	
Lang-47	5	201	5	
Lang-48	33	27	15	
Lang-50	1	19	1	
Lang-53	5	2	2	
Lang-54	2	3	2	
Lang-55	4	2	2	
Lang-59	2	2	2	
Lang-60	10	71	10	
Lang-61	7	18	7	
Lang-62	3	2	1	
Lang-63	2	2	2	
Lang-64	4	19	4	
Lang-65	4	4	4	
Math-1	2	94	2	
Math-2	6	2	2	
Math-6	199	26	26	
Math-7	17	85	17	
Math-11	2	2	2	
Math-13	83	8	4	
Math-14	86	30	26	
Math-15	73	397	2	
Math-16	28	1092	28	
Math-17	26	53	26	
Math-21	2	2	1	
Math-23	15	6	6	
Math-24	14	5	5	
Math-26	55	95	20	
Math-27	1	1	1	
Math-28	9	3	3	
Math-29	1	8	0	
Math-30	1	1	1	
Math-31	106	0	0	
Math-33	17	3	2	
Math-34	1	1	0	
Math-35	8	0	0	
Math-36	39	0	0	
Math-37	4	0	0	
Math-40	17	0	0	
Math-41	2	0	0	
Math-42	18	0	0	
Math-43	44	0	0	
Math-44	136	0	0	
Math-45	30	0	0	
Math-46	2	2	2	
Math-47	184	2	2	
Math-48	6	12	0	
Math-49	1	13	1	
Math-50	6	31	5	
Math-52	1	21	1	
Math-53	19	100	19	
Math-54	19	26	19	
Math-55	3	87	3	
Math-57	2	1	1	
Math-58	5	4	2	
Math-62	1	0	0	
Math-64	49	0	0	
Math-65	43	0	0	
Math-66	6	0	0	
Math-68	41	32	31	
Math-69	5	0	0	
Math-74	47	25	19	
Math-76	10	5	5	
Math-79	3	1	1	
Math-81	34	6	6	
Math-82	13	2	2	
Math-83	15	9	9	
Math-84	2	2	2	
Math-85	16	39	15	
Math-86	9	0	0	
Math-87	14	8	8	
Math-88	8	7	7	
Math-89	1	1	1	
Math-90	5	5	5	
Math-92	9	2	2	
Math-93	2	1	1	
Math-94	45	45	45	
Math-95	2	2	2	
Math-96	29	65	4	
Math-97	31	31	31	
Math-98	4	0	0	
Math-99	56	0	0	
Math-100	3	0	0	
Math-101	22	0	0	
Math-103	7	0	0	
Math-105	8	0	0	
Mockito-2	12	12	12	
Mockito-3	26	26	26	
Mockito-5	1	7	1	
Mockito-6	95	269	9	
Mockito-9	45	1	0	
Mockito-10	26	1070	26	
Mockito-11	3	370	3	
Mockito-12	3	10	3	
Mockito-13	280	533	115	
Mockito-14	291	548	204	
Mockito-16	630	19	16	
Mockito-17	627	32	21	
Mockito-18	476	0	0	
Mockito-20	1037	15	15	
Mockito-21	1	2	1	
Mockito-22	265	19	3	
Mockito-23	1005	296	296	
Mockito-24	4	4	4	
Mockito-25	17	18	17	
Mockito-26	556	0	0	
Mockito-27	22	0	0	
Mockito-28	26	0	0	
Mockito-29	4	0	0	
Mockito-32	14	0	0	
Mockito-33	428	647	390	
Mockito-34	234	360	108	
Mockito-35	21	225	10	
Mockito-36	28	431	4	
Mockito-37	166	278	151	
Mockito-38	28	42	14	
Time-1	140	152	139	
Time-2	139	19	15	
Time-3	26	9	9	
Time-4	24	19	19	
Time-5	11	8	8	
Time-7	23	37	23	
Time-8	61	83	25	
Time-9	71	53	28	
Time-10	10	3	0	
Time-11	3	1	1	
Time-12	16	29	0	
Time-14	13	18	7	
Time-15	12	0	0	
Time-17	2	51	2	
Time-18	18	1	1	
Time-19	718	207	145	
Time-21	22	15	15	
Time-22	48	3	0	
Time-23	7	5	5	
Time-27	297	26	26	
Chart-1	37	103	37	
Chart-2	16	20	7	
Chart-3	2	2	2	
Chart-4	60	63	60	
Chart-5	3	3	3	
Chart-6	221	3	3	
Chart-7	12	0	0	
Chart-8	2	2	2	
Chart-9	1	4	0	
Chart-11	15	15	15	
Chart-12	3	90	3	
Chart-15	2	30	2	
Chart-16	6	6	6	
Chart-17	2	3	2	
Chart-20	94	0	0	
Chart-21	1	2	1	
Chart-22	3	0	0	
Chart-25	1	1	1	
Chart-26	3	25	3	
