Chart-1	35	212	229	2388	47	35	35	35	
Chart-2	137	108	67	278	134	92	92	92	
Chart-3	4	97	12	803	16	4	4	4	
Chart-4	19	353	199	19	52	169	175	678	
Chart-5	6	28	5	244	16	6	6	6	
Chart-6	7	7	3	106	20	48	48	95	
Chart-7	59	72	59	59	59	59	59	59	
Chart-8	1	9	2	67	32	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	5	5	34	86	5	5	5	5	
Chart-12	6	14	944	2491	6	6	6	6	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	5	1	25	147	5	5	5	5	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	134	371	1445	134	134	134	134	667	
