Chart-8	32	32	2	32	32	1	1	5	
Chart-9	270	292	294	270	192	270	243	87	
Chart-5	76	77	79	203	76	76	74	10	
Chart-2	137	108	67	278	134	92	92	92	
Chart-25	3133	3267	3116	3133	3133	3133	3133	169	
Chart-26	134	371	1445	134	134	134	134	667	
Chart-3	158	186	212	158	140	158	137	45	
Chart-16	31	31	31	31	31	31	31	4	
Chart-21	34	64	34	34	34	34	34	163	
Chart-12	5	14	235	1455	5	5	5	6	
Chart-20	81	81	81	81	187	81	81	225	
Chart-22	94	92	92	94	92	94	94	11	
Chart-17	426	371	347	500	347	426	426	421	
Chart-11	12	30	38	65	7	6	14	17	
Chart-1	35	212	229	2388	47	35	35	35	
Chart-7	81	78	84	81	51	81	85	162	
Chart-4	17	353	166	17	83	165	171	682	
Chart-15	1638	2325	2837	2658	1315	1095	37	460	
Chart-6	27	27	27	27	17	26	24	246	
Lang-10	71	71	71	71	71	71	71	284	
Lang-42	160	160	161	160	150	160	218	143	
Lang-53	45	45	40	45	7	45	95	128	
Lang-4	2	2	13	2	2	2	2	7	
Lang-27	28	36	67	28	28	28	28	124	
Lang-47	393	398	358	867	393	393	319	114	
Lang-46	12	3	3	12	12	12	12	18	
Lang-31	4	5	7	141	4	4	4	6	
Lang-17	5	5	5	5	5	5	5	87	
Lang-2	26	11	17	14	26	26	26	17	
Lang-3	46	51	38	40	46	46	46	26	
Lang-40	4	4	4	16	4	4	4	4	
Lang-32	2	2	3	2	5	2	2	27	
Lang-5	14	14	14	14	16	14	14	11	
Lang-64	63	102	102	65	63	63	67	30	
Lang-36	157	134	136	157	157	157	62	121	
Lang-12	5	4	5	5	4	5	8	8	
Lang-15	194	194	194	194	194	194	194	458	
Lang-65	43	28	16	111	43	43	43	43	
Lang-6	22	33	22	22	3	22	22	488	
Lang-19	31	31	31	31	22	22	22	12	
Lang-44	3	3	3	3	3	3	3	43	
Lang-60	68	92	202	317	63	24	19	17	
Lang-9	62	62	62	62	62	62	62	388	
Lang-37	25	28	9	950	25	6	6	6	
Lang-59	6	12	6	880	6	6	6	6	
Lang-1	38	38	45	40	36	36	25	31	
Lang-54	10	17	17	10	3	10	8	4	
Lang-22	45	32	45	45	72	45	93	145	
Lang-62	112	136	147	112	111	111	88	6	
Lang-50	134	141	42	135	115	15	8	2	
Lang-26	184	184	184	184	126	184	184	212	
Lang-39	47	65	61	1085	47	47	47	47	
Lang-48	9	9	9	9	5	9	9	72	
Lang-16	60	48	56	60	60	60	60	77	
Lang-55	18	15	21	18	5	18	26	29	
Lang-28	37	47	45	52	36	37	34	5	
Lang-63	59	53	72	59	34	60	59	10	
Lang-61	8	49	16	555	8	8	21	21	
Lang-18	1	34	1	1	1	1	1	71	
Lang-14	102	38	21	44	102	102	102	100	
Lang-34	229	229	229	229	229	229	229	244	
Lang-7	145	144	15	125	145	127	127	127	
Math-29	252	264	271	252	242	252	215	809	
Math-44	150	150	150	150	150	150	150	650	
Math-43	157	157	157	157	150	157	157	210	
Math-65	252	252	252	252	154	252	252	8	
Math-82	172	172	172	172	172	172	172	226	
Math-90	6	4	6	6	6	6	6	52	
Math-79	30	3	16	441	30	30	30	30	
Math-101	58	58	58	58	59	59	59	59	
Math-58	504	56	504	92	240	504	504	504	
Math-46	314	316	313	353	25	5	3	3	
Math-17	642	649	642	642	683	643	697	855	
Math-6	4	4	4	4	4	4	4	136	
Math-92	3	15	21	34	3	2	2	2	
Math-31	270	270	270	270	244	269	269	363	
Math-16	2	591	993	1	2	2	2	1	
Math-93	37	40	55	98	37	37	20	2	
Math-74	109	182	109	109	136	136	137	206	
Math-52	670	742	760	670	658	670	568	32	
Math-27	1	28	106	294	1	1	1	1	
Math-84	93	93	93	93	93	93	108	116	
Math-95	84	87	88	84	68	84	66	119	
Math-99	26	26	26	26	20	20	21	4	
Math-53	32	23	23	169	32	32	37	21	
Math-45	2	7	2	484	2	2	2	2	
Math-21	186	168	157	186	143	186	182	80	
Math-86	23	74	23	23	23	23	23	137	
Math-83	11	107	11	11	11	11	11	106	
Math-23	23	100	23	23	23	23	23	204	
Math-69	206	190	206	206	239	206	208	203	
Math-97	22	22	22	22	7	22	40	7	
Math-40	328	416	327	328	125	328	335	134	
Math-100	274	270	269	285	188	274	274	19	
Math-66	6	6	6	6	6	6	6	12	
Math-96	16	20	15	16	15	15	26	39	
Math-2	221	221	224	221	211	221	211	88	
Math-81	60	55	60	60	60	60	60	330	
Math-7	575	672	620	782	469	99	5	1	
Math-33	361	359	361	361	360	361	361	397	
Math-50	490	487	484	490	168	490	523	4	
Math-87	139	139	140	139	212	139	139	167	
Math-89	4	6	12	4	1	1	1	17	
Math-34	112	111	110	147	94	112	112	73	
Math-26	429	429	429	429	90	429	429	78	
Math-47	11	11	11	11	11	11	11	344	
Math-37	247	247	238	452	230	12	5	3	
Math-24	168	168	168	168	103	174	176	92	
Math-64	69	88	54	69	54	54	54	7	
Math-48	480	481	480	480	427	383	63	43	
Math-36	355	355	355	355	502	355	355	86	
Math-68	60	60	60	60	60	60	60	41	
Math-11	493	470	373	910	493	493	493	32	
Math-88	266	266	266	266	150	266	285	28	
Math-30	28	266	25	2469	266	28	28	28	
Math-41	35	84	258	642	35	35	35	35	
Math-15	43	13	933	13	43	43	43	43	
Math-76	219	263	182	219	151	182	182	117	
Math-14	74	74	74	74	74	74	74	1080	
Math-94	1	2	1	1	1	1	1	67	
Math-28	264	254	264	264	264	264	264	100	
Math-49	454	490	497	454	453	454	435	134	
Math-103	40	40	40	40	16	40	16	63	
Math-54	933	947	935	933	936	929	909	746	
Math-57	371	371	371	424	26	371	371	371	
Math-13	114	134	114	114	114	114	114	404	
Math-42	306	323	306	306	110	282	251	35	
Math-55	361	367	372	361	320	320	311	29	
Math-85	121	120	90	306	99	121	175	178	
Math-1	357	407	742	1083	40	12	12	7	
Mockito-28	88	288	88	88	132	97	97	231	
Mockito-35	423	426	108	947	373	1	1	4	
Mockito-32	2	347	536	24	24	2	2	2	
Mockito-22	275	275	275	275	248	266	266	157	
Mockito-9	517	433	575	168	81	534	534	534	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-14	85	80	65	85	66	85	85	242	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-18	379	371	379	379	360	382	391	522	
Mockito-37	409	408	409	409	333	451	451	838	
Mockito-25	46	417	67	46	46	61	62	73	
Mockito-17	58	58	58	58	58	58	58	28	
Mockito-5	4216	3093	1530	1363	3093	3093	1529	1529	
Mockito-12	67	67	51	67	5	5	5	5	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-38	683	679	664	683	847	683	767	801	
Mockito-34	446	449	390	446	479	506	532	334	
Mockito-16	107	107	107	107	107	107	107	621	
Mockito-33	402	402	402	402	402	402	402	740	
Mockito-10	11	402	281	87	64	11	11	11	
Mockito-6	856	861	344	1650	828	2	1	1	
Mockito-13	319	368	39	319	369	361	370	382	
Mockito-2	245	245	75	245	191	84	74	86	
