Chart-3	423	422	390	536	390	423	423	423	
Chart-16	31	31	31	31	31	31	31	25	
Chart-21	61	69	61	61	61	61	61	47	
Chart-7	58	58	58	58	58	58	58	130	
Chart-11	41	41	41	41	36	41	31	15	
Chart-26	134	371	1445	134	134	134	134	667	
Chart-17	278	284	306	278	306	278	277	50	
Chart-12	1091	1091	1254	1091	1091	1091	555	20	
Chart-4	17	353	166	17	83	165	171	682	
Chart-22	76	76	74	76	97	76	76	11	
Chart-6	36	36	36	36	185	30	29	222	
Chart-15	2453	2773	3565	2453	2129	2453	1195	143	
Chart-2	299	268	224	308	295	299	270	251	
Chart-25	3250	3384	3250	3250	323	3250	3250	434	
Chart-20	81	81	81	81	368	81	81	218	
Chart-9	494	476	391	868	398	494	494	493	
Chart-8	39	39	39	39	39	39	39	2	
Chart-1	1340	1324	1490	1340	1215	1253	1163	572	
Chart-5	97	97	101	97	74	97	71	13	
Lang-22	31	31	25	31	64	31	32	114	
Lang-60	263	271	288	263	288	263	271	151	
Lang-15	194	194	194	194	194	194	194	261	
Lang-63	44	41	44	44	88	44	45	29	
Lang-7	142	147	34	142	142	142	142	184	
Lang-50	219	226	227	252	219	219	204	2	
Lang-62	242	194	196	242	196	242	242	12	
Lang-17	5	5	5	5	5	5	5	107	
Lang-59	374	385	368	374	619	374	358	257	
Lang-26	184	184	184	184	184	184	184	239	
Lang-28	46	47	46	46	47	46	46	50	
Lang-6	37	37	37	37	9	37	37	665	
Lang-54	18	18	17	18	10	18	18	38	
Lang-5	14	14	14	14	20	14	14	10	
Lang-31	141	66	78	185	141	141	547	753	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-36	194	152	142	194	142	194	194	241	
Lang-3	56	58	62	56	44	56	40	36	
Lang-64	59	61	61	59	64	59	57	12	
Lang-2	11	11	11	11	18	11	11	75	
Lang-44	37	3	3	37	3	37	37	114	
Lang-14	4	5	4	6	5	4	4	4	
Lang-19	31	31	31	31	27	27	27	3	
Lang-37	6	25	6	950	25	6	6	6	
Lang-61	213	263	263	213	104	158	74	87	
Lang-4	2	2	2	2	2	2	2	37	
Lang-9	62	62	62	62	62	62	62	533	
Lang-10	74	71	75	74	75	75	75	346	
Lang-1	68	55	64	68	68	68	68	133	
Lang-12	4	4	4	4	4	4	4	15	
Lang-32	2	2	2	2	2	2	2	81	
Lang-55	14	14	14	14	14	14	14	41	
Lang-16	22	22	53	22	22	22	22	40	
Lang-27	77	77	79	77	79	77	77	150	
Lang-48	9	9	9	9	9	9	9	43	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-47	263	315	340	289	259	263	195	124	
Lang-53	35	35	35	35	4	35	42	88	
Lang-18	88	88	88	88	88	88	88	17	
Lang-65	16	9	9	16	9	16	42	114	
Lang-34	229	229	229	229	229	229	229	328	
Lang-42	218	189	173	218	171	218	297	316	
Lang-46	3	3	3	3	11	3	3	8	
Math-54	969	968	969	969	648	969	970	2115	
Math-31	270	270	270	270	255	270	270	41	
Math-49	1210	1210	1210	1210	1210	1210	1210	1007	
Math-21	240	224	181	240	240	240	249	194	
Math-79	30	3	16	441	30	30	30	30	
Math-101	73	73	73	73	58	73	77	87	
Math-66	10	6	10	10	10	10	10	263	
Math-45	2	7	2	484	2	2	2	2	
Math-6	4	4	4	4	4	4	4	163	
Math-103	40	40	40	40	200	40	40	43	
Math-96	23	23	23	23	20	23	23	77	
Math-86	74	74	74	74	74	74	74	315	
Math-28	265	255	265	265	265	265	265	14	
Math-16	2	591	993	1	2	2	2	1	
Math-85	117	165	158	117	84	117	82	93	
Math-53	33	32	32	33	33	33	29	70	
Math-27	204	211	215	293	204	204	204	14	
Math-65	250	251	250	250	250	250	250	19	
Math-33	349	349	350	349	349	349	349	7	
Math-99	27	24	23	14	27	4	4	4	
Math-64	88	88	88	88	88	88	88	36	
Math-42	373	373	373	373	384	380	380	464	
Math-43	163	163	163	163	163	163	163	613	
Math-2	234	233	234	234	224	234	234	127	
Math-29	355	356	337	355	333	355	355	1177	
Math-11	715	511	510	715	729	715	715	402	
Math-100	266	266	268	266	249	266	266	17	
Math-36	357	357	357	357	391	357	357	69	
Math-76	219	263	186	219	39	184	184	325	
Math-44	150	150	150	150	150	150	150	147	
Math-41	610	598	588	610	588	610	606	502	
Math-58	79	79	79	79	79	79	79	67	
Math-81	26	26	26	26	26	26	26	440	
Math-97	22	22	22	22	22	22	22	23	
Math-84	81	81	81	81	81	81	81	116	
Math-69	196	196	196	196	196	196	196	261	
Math-37	353	447	453	353	353	353	252	13	
Math-40	425	430	430	425	408	425	421	130	
Math-68	60	60	60	60	60	60	60	81	
Math-14	33	49	33	33	33	33	33	927	
Math-23	103	103	103	103	103	103	103	101	
Math-89	57	57	61	57	59	57	31	4	
Math-83	11	107	11	11	11	11	11	105	
Math-26	422	413	422	422	458	95	86	61	
Math-90	6	4	6	6	6	6	6	52	
Math-93	127	86	80	99	127	127	127	64	
Math-95	91	88	97	227	90	91	85	22	
Math-34	121	117	110	147	59	121	121	117	
Math-74	118	139	118	118	118	118	118	317	
Math-92	13	13	4	31	13	18	18	15	
Math-87	135	135	135	135	135	135	135	262	
Math-15	43	13	933	13	43	43	43	43	
Math-55	475	486	483	475	483	475	475	79	
Math-30	282	282	282	282	282	282	282	301	
Math-17	636	647	635	636	671	636	639	230	
Math-50	487	486	484	487	485	487	486	11	
Math-52	1045	906	854	886	855	1045	1045	1044	
Math-57	371	371	371	371	2527	371	371	423	
Math-7	1025	1035	1032	1025	1012	1025	938	3	
Math-13	134	134	134	134	291	134	134	1114	
Math-1	827	864	875	827	827	827	746	10	
Math-82	169	169	169	169	169	169	169	254	
Math-24	164	164	164	164	164	164	164	8	
Math-47	11	11	11	11	11	11	11	755	
Math-88	266	266	266	266	272	266	266	71	
Math-46	505	507	619	505	429	505	333	31	
Math-48	831	826	826	831	822	831	831	953	
Math-94	1	1	1	1	1	1	1	32	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-25	46	417	67	46	46	61	62	73	
Mockito-2	337	337	337	337	337	337	337	1	
Mockito-3	1	460	103	1	29	1	1	8	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-5	1497	1506	1507	1497	1507	1497	1497	808	
Mockito-33	402	402	402	402	402	402	402	919	
Mockito-35	490	529	364	701	412	9	11	8	
Mockito-13	370	375	370	370	370	380	417	972	
Mockito-14	66	66	66	66	66	66	66	521	
Mockito-17	58	58	58	58	58	58	58	28	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-10	11	402	281	87	64	11	11	11	
Mockito-6	856	861	344	1650	828	2	1	1	
