Chart-9	13	129	39	13	13	13	13	14	
Chart-26	2197	2197	2468	2197	2064	1384	1317	622	
Chart-11	5	5	9	5	5	5	5	15	
Chart-25	3116	3116	3116	3116	2947	3116	2947	2982	
Chart-2	74	78	61	175	71	60	60	111	
Chart-6	28	28	28	28	14	14	13	35	
Chart-16	31	31	1	31	1	1	1	1	
Chart-5	66	70	96	66	64	65	34	7	
Chart-8	33	33	33	33	50	33	33	2	
Chart-4	509	524	533	509	118	40	40	904	
Chart-22	57	61	55	56	55	47	8	11	
Chart-21	58	69	58	58	68	65	70	75	
Chart-17	102	112	129	102	11	29	3	9	
Chart-1	1209	1212	1353	1209	1072	1059	791	357	
Chart-3	4	95	15	4	4	4	4	12	
Chart-12	3	12	393	3	3	3	3	5	
Chart-15	8	544	937	227	8	8	8	34	
Chart-20	5	1	1	82	39	5	5	5	
Chart-7	58	58	58	58	58	58	58	157	
Lang-54	10	17	17	10	10	10	10	4	
Lang-26	184	184	184	184	184	184	184	278	
Lang-15	194	194	194	194	194	194	194	261	
Lang-60	261	245	245	261	282	261	256	181	
Lang-50	229	233	229	229	235	229	229	42	
Lang-61	8	46	21	8	8	8	8	42	
Lang-55	2	14	2	2	2	2	2	24	
Lang-5	14	14	14	14	14	14	14	7	
Lang-14	6	6	6	6	6	6	240	394	
Lang-28	45	45	45	45	40	45	44	16	
Lang-6	14	15	16	14	14	14	13	118	
Lang-32	2	2	2	2	2	2	2	83	
Lang-46	11	11	11	11	3	11	16	3	
Lang-27	56	56	67	56	56	56	56	132	
Lang-65	4	9	9	4	9	4	4	68	
Lang-22	38	25	25	38	38	38	38	118	
Lang-40	4	4	4	16	4	4	4	4	
Lang-12	4	4	4	4	4	4	4	15	
Lang-16	4	22	34	4	4	4	4	7	
Lang-47	452	452	416	452	416	452	452	505	
Lang-64	48	50	50	48	45	45	43	11	
Lang-36	129	129	118	111	129	111	111	23	
Lang-39	24	24	24	36	24	24	24	29	
Lang-31	4	5	26	4	4	4	4	5	
Lang-10	71	71	71	71	71	71	71	76	
Lang-48	9	9	9	9	5	5	5	48	
Lang-9	62	62	62	62	62	62	62	110	
Lang-37	6	25	6	6	6	6	6	8	
Lang-3	67	64	60	67	66	66	66	146	
Lang-2	11	11	11	11	11	11	2	5	
Lang-7	112	138	15	130	112	112	112	113	
Lang-53	35	35	33	35	35	33	33	35	
Lang-19	33	33	33	33	28	33	33	9	
Lang-63	1	25	20	111	1	1	1	1	
Lang-18	88	88	88	88	88	88	88	52	
Lang-34	229	229	229	229	229	229	229	11	
Lang-17	5	5	5	5	5	5	5	46	
Lang-42	81	83	113	81	81	5	5	40	
Lang-4	2	2	2	2	2	2	2	37	
Lang-44	3	3	3	3	3	3	3	6	
Lang-62	145	173	173	145	145	145	85	17	
Lang-1	67	67	74	67	66	67	50	19	
Lang-59	6	12	9	19	6	6	6	6	
Math-45	2	7	6	2	2	2	2	115	
Math-7	990	921	899	949	1031	990	1011	991	
Math-46	1	16	7	655	1	1	1	2	
Math-43	163	163	163	163	163	163	163	436	
Math-29	239	243	253	239	239	239	207	849	
Math-14	74	74	74	74	74	74	74	680	
Math-87	135	135	135	135	135	135	135	206	
Math-64	88	88	88	88	88	88	88	59	
Math-31	8	8	8	8	13	13	14	219	
Math-103	40	42	40	40	42	40	43	84	
Math-68	60	60	60	60	60	60	60	61	
Math-47	11	11	11	11	11	11	11	755	
Math-89	63	63	63	63	54	63	63	25	
Math-36	364	364	364	364	364	364	364	153	
Math-74	139	139	139	139	139	139	139	1226	
Math-96	20	22	20	20	20	20	21	89	
Math-21	149	149	149	149	149	149	84	155	
Math-2	237	237	237	237	1745	237	237	232	
Math-94	1	1	1	1	1	1	1	1	
Math-37	562	574	574	562	561	562	463	230	
Math-49	498	509	509	498	493	498	485	267	
Math-57	3	331	3	3	3	3	3	3	
Math-69	220	220	220	220	220	220	220	62	
Math-44	150	150	150	150	150	150	150	147	
Math-101	12	36	12	115	36	12	12	12	
Math-42	328	328	328	328	328	328	328	260	
