Chart-20	5	1	1	122	23	5	5	5	
Chart-8	1	9	2	101	9	1	1	1	
Chart-2	137	108	67	278	134	92	92	92	
Chart-21	13	68	8	131	73	13	13	13	
Chart-22	57	61	55	57	55	48	8	11	
Chart-15	39	552	748	5301	39	39	39	39	
Chart-1	37	212	225	2336	49	37	37	37	
Chart-7	74	72	74	87	82	74	74	74	
Chart-25	3133	3267	3116	3133	2964	3133	3114	163	
Chart-26	3	371	1561	3	3	3	3	336	
Chart-9	13	192	102	423	13	13	13	13	
Chart-6	16	7	16	32	118	57	57	104	
Chart-11	5	5	5	42	6	5	5	5	
Chart-16	1	14	1	1	1	1	1	2	
Chart-12	8	14	197	2360	8	8	8	8	
Chart-17	2	63	34	453	2	2	2	2	
Chart-5	7	28	4	235	24	7	7	7	
Chart-3	4	97	12	484	27	4	4	4	
Chart-4	17	353	166	17	85	165	171	682	
Lang-53	168	123	57	4	123	123	99	99	
Lang-3	12	43	34	38	30	12	12	12	
Lang-31	4	5	7	81	4	4	4	6	
Lang-10	60	58	68	406	72	61	67	68	
Lang-44	3	3	3	141	3	3	3	3	
Lang-16	27	22	34	443	45	27	27	27	
Lang-7	120	138	126	168	120	120	120	120	
Lang-28	11	30	10	55	13	11	11	11	
Lang-59	6	12	6	805	6	6	6	6	
Lang-40	3	4	4	811	3	3	3	3	
Lang-14	4	5	4	57	5	4	4	4	
Lang-4	6	2	13	32	2	6	6	6	
Lang-5	6	12	5	25	13	6	6	6	
Lang-62	125	157	146	223	157	157	223	223	
Lang-50	138	141	38	142	119	19	12	6	
Lang-9	55	38	151	56	40	55	70	84	
Lang-55	20	14	51	21	14	20	20	20	
Lang-48	2	9	2	5	10	2	2	2	
Lang-17	15	33	14	2	6	15	15	15	
Lang-22	14	22	14	25	35	27	27	40	
Lang-54	10	15	10	12	10	10	10	10	
Lang-63	21	25	18	98	21	21	21	21	
Lang-46	1	3	1	21	1	1	1	1	
Lang-32	5	3	3	2	4	5	5	5	
Lang-65	7	9	7	87	9	7	7	7	
Lang-37	6	25	8	950	25	6	6	6	
Lang-34	1	105	1	1	266	49	49	117	
Lang-64	1	36	4	132	4	1	1	1	
Lang-26	7	116	1	184	128	7	7	7	
Lang-39	27	26	24	993	27	27	27	27	
Math-45	2	7	2	503	2	2	2	2	
Math-57	4	332	4	425	2527	4	4	4	
Math-103	32	40	1	124	47	32	32	32	
Math-47	2	14	5	357	2	2	2	9	
Math-16	2	591	993	1	2	2	2	1	
Math-29	197	198	125	155	154	15	11	6	
Math-17	76	480	25	764	666	76	76	76	
Math-50	1	62	3	867	1	1	1	1	
Math-42	29	319	29	393	371	29	29	29	
Math-97	2	9	9	76	2	2	2	2	
Math-76	18	91	13	18	18	18	18	18	
Math-84	78	78	78	78	52	78	101	106	
Math-96	4	14	6	40	13	4	4	4	
Math-21	42	115	5	63	80	42	42	47	
Math-92	3	14	5	39	3	3	3	3	
Math-15	43	13	933	13	43	43	43	43	
Math-101	12	36	12	89	37	12	12	12	
Math-54	10	500	10	1074	601	10	10	10	
Math-88	1	208	31	336	1	1	1	1	
Math-26	39	42	16	465	102	39	39	39	
Math-58	203	56	203	234	260	203	203	203	
Math-69	12	17	10	43	106	12	12	12	
Math-6	70	23	107	70	14	90	81	100	
Math-85	78	110	40	216	78	78	78	78	
Math-65	196	235	196	198	196	196	196	196	
Math-74	814	970	814	210	808	814	814	814	
Math-89	1	4	1	59	1	1	1	1	
Math-55	1	23	4	498	16	1	1	1	
Math-81	21	144	302	250	21	21	21	21	
Math-1	357	407	805	891	40	12	12	1	
Math-24	152	101	114	168	308	152	152	152	
Math-14	108	98	6284	58	119	108	108	108	
Math-37	247	247	236	452	230	12	5	3	
Math-86	4	75	4	4	74	57	57	100	
Math-68	144	12	145	156	11	144	144	144	
Math-82	210	207	1970	240	206	210	210	210	
Math-95	12	49	46	99	12	12	12	12	
Math-2	38	34	38	383	121	38	38	38	
Mockito-20	39	124	39	39	335	52	84	158	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-33	57	339	197	564	411	84	84	195	
Mockito-22	11	2	4	332	211	11	11	11	
Mockito-5	3121	2914	888	1464	2914	2914	1317	1317	
Mockito-38	1272	811	247	628	811	811	653	653	
Mockito-25	46	417	67	46	46	61	62	73	
Mockito-27	228	484	451	995	225	12	12	12	
Mockito-37	2	31	3	554	316	3	3	3	
Mockito-16	11	327	214	335	56	11	11	11	
Mockito-21	1	8	7	6	1	1	1	1	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-12	5	5	5	5	2	2	2	2	
Mockito-34	26	281	24	752	405	51	51	72	
Mockito-9	517	433	575	168	81	534	534	534	
Mockito-35	423	426	108	947	373	1	1	4	
Mockito-2	3	1	3	3	39	3	3	8	
Mockito-24	1	525	691	2407	1	1	1	1	
Mockito-28	459	420	1167	344	306	459	459	459	
Mockito-3	1	460	103	1	29	1	1	8	
Mockito-6	856	861	344	1650	828	2	1	1	
Mockito-13	66	507	63	374	343	66	66	66	
Mockito-10	11	402	279	87	64	11	11	11	
Mockito-29	1380	1007	738	789	1007	1007	767	767	
Mockito-17	4	19	4	5	4	4	4	4	
Mockito-32	2	347	536	24	24	2	2	2	
Mockito-23	14	555	306	433	14	14	14	14	
Mockito-18	9	247	9	372	264	9	9	9	
Mockito-14	90	489	82	66	68	90	90	90	
Time-3	1	775	725	137	211	1	1	1	
Time-17	1	488	1206	3527	1	1	1	1	
Time-11	639	300	639	1514	1445	639	639	639	
Time-2	3	279	862	2038	3	3	3	3	
Time-27	292	1220	31	1182	1166	292	292	292	
Time-14	2	1490	997	2	2	3	3	3	
Time-1	3	134	399	1538	3	3	3	3	
Time-9	3	67	787	1447	3	3	3	3	
Time-10	188	411	854	3239	378	191	194	200	
Time-8	27	69	852	1484	27	27	27	27	
Time-21	1	541	616	2480	1	3	3	4	
Time-19	174	93	36	1408	931	174	174	174	
Time-23	15	83	335	1134	109	15	15	15	
Time-7	14	383	1531	5936	204	14	14	15	
Time-15	2	2	55	96	2	2	2	2	
Time-5	2	63	346	1735	192	2	26	68	
Time-12	1532	1533	1066	2543	1235	20	3	2	
Time-18	3	569	831	2052	193	3	3	3	
Time-22	15	248	298	2187	223	16	16	16	
Time-4	30	675	824	2940	780	30	30	30	
