Chart-2	16	3	2
Chart-5	3	3	3	
Chart-21	1	1	1	
Chart-25	1	1	1	
Chart-20	94	5	3	
Chart-12	3	3	3	
Chart-11	15	15	15	
Chart-15	2	6	2	
Chart-16	6	6	6	
Chart-26	3	25	3	
Chart-6	221	3	3	
Chart-3	2	2	2	
Chart-7	12	0	0	
Chart-22	3	26	3	
Chart-17	2	3	2	
Chart-1	37	109	37	
Chart-4	60	66	60	
Chart-9	1	1	1	
Chart-8	2	2	2	
Lang-3	4	2	2	
Lang-61	7	7	7	
Lang-28	2	2	2	
Lang-12	2	1	1	
Lang-50	1	5	1	
Lang-63	2	2	2	
Lang-26	30	1	1	
Lang-4	30	23	23	
Lang-18	46	2	2	
Lang-37	3	3	3	
Lang-41	34	0	0	
Lang-62	3	0	0	
Lang-2	5	0	0	
Lang-32	44	0	0	
Lang-27	1	0	0	
Lang-55	4	2	2	
Lang-42	5	46	3	
Lang-7	3	2	1	
Lang-54	2	2	2	
Lang-44	2	2	2	
Lang-30	19	0	0	
Lang-16	2	0	0	
Lang-47	5	0	0	
Lang-53	5	0	0	
Lang-46	4	0	0	
Lang-22	8	11	8	
Lang-20	4	0	0	
Lang-60	10	0	0	
Lang-36	1	0	0	
Lang-59	2	0	0	
Lang-48	33	45	33	
Lang-39	1	1	1	
Lang-15	3	1	1	
Lang-65	4	4	4	
Lang-31	4	72	4	
Lang-17	33	16	15	
Lang-34	84	113	84	
Lang-1	3	3	3	
Lang-40	1	2	1	
Lang-9	111	2	2	
Lang-6	30	24	18	
Lang-10	107	20	20	
Lang-14	16	16	16	
Lang-5	4	4	4	
Lang-64	4	57	4	
Lang-19	9	9	9	
Math-95	2	20	2	
Math-68	41	37	36	
Math-23	15	9	8	
Math-88	8	8	7	
Math-89	1	6	1	
Math-76	10	9	8	
Math-49	1	13	1	
Math-37	4	104	0	
Math-17	26	29	4	
Math-26	55	92	20	
Math-100	3	15	2	
Math-31	106	174	0	
Math-33	17	8	5	
Math-43	44	40	40	
Math-7	17	116	16	
Math-99	56	0	0	
Math-21	2	22	2	
Math-16	28	419	4	
Math-11	2	2	2	
Math-36	39	74	39	
Math-105	8	0	0	
Math-97	31	0	0	
Math-96	29	0	0	
Math-45	30	0	0	
Math-29	1	52	0	
Math-52	1	19	1	
Math-81	34	12	12	
Math-101	22	50	22	
Math-30	1	1	1	
Math-84	2	2	2	
Math-15	73	225	2	
Math-79	3	1	1	
Math-103	7	7	7	
Math-82	13	2	2	
Math-65	43	11	11	
Math-46	2	185	2	
Math-6	199	54	54	
Math-94	45	201	45	
Math-40	17	11	0	
Math-53	19	25	19	
Math-74	47	7	7	
Math-1	2	5	2	
Math-66	6	3	3	
Math-57	2	1	1	
Math-41	2	2	2	
Math-54	19	30	19	
Math-50	6	21	2	
Math-86	9	0	0	
Math-64	49	25	23	
Math-92	9	4	2	
Math-28	9	13	9	
Math-14	86	14	13	
Math-85	16	37	15	
Math-69	5	0	0	
Math-13	83	24	23	
Math-42	18	12	12	
Math-90	5	1	1	
Math-55	3	39	2	
Math-48	6	4	0	
Math-47	184	2	2	
Math-44	136	65	62	
Math-2	6	13	5	
Math-98	4	0	0	
Math-83	15	0	0	
Math-58	5	4	2	
Math-35	8	0	0	
Math-34	1	0	0	
Math-93	2	0	0	
Math-62	1	0	0	
Math-87	14	0	0	
Math-24	14	0	0	
Math-27	1	0	0	
Mockito-33	428	293	250	
Mockito-9	45	1	0	
Mockito-25	17	18	17	
Mockito-18	476	196	196	
Mockito-21	1	2	1	
Mockito-11	3	3	3	
Mockito-24	4	4	4	
Mockito-35	21	133	8	
Mockito-6	95	75	6	
Mockito-37	166	92	3	
Mockito-12	3	0	0	
Mockito-16	630	139	138	
Mockito-23	1005	59	59	
Mockito-2	12	0	0	
Mockito-27	22	0	0	
Mockito-36	28	354	24	
Mockito-28	26	2	2	
Mockito-14	291	273	174	
Mockito-3	26	18	18	
Mockito-26	556	0	0	
Mockito-29	4	0	0	
Mockito-32	14	550	14	
Mockito-20	1037	15	15	
Mockito-10	26	1016	26	
Mockito-38	28	17	14	
Mockito-17	627	19	19	
Mockito-34	234	391	172	
Mockito-13	280	283	213	
Mockito-22	265	245	245	
Mockito-5	1	2	0	
Time-22	48	54	0	
Time-12	16	43	0	
Time-10	10	2	0	
Time-11	3	1	1	
Time-1	140	205	135	
Time-21	22	5	0	
Time-23	7	1	1	
Time-9	71	76	33	
Time-8	61	98	45	
Time-18	18	1	1	
Time-14	13	4	4	
Time-4	24	29	24	
Time-3	26	373	17	
Time-5	11	8	8	
Time-2	139	18	17	
Time-27	297	2	2	
Time-19	718	1	1	
Time-17	2	27	2	
Time-7	23	23	22	
Time-15	12	38	12	
Time-22	48	5	0	
Time-8	61	99	31	
Time-1	140	166	135	
Time-17	2	22	0	
Time-14	13	4	4	
Time-19	718	0	0	
Time-23	7	1	1	
Time-4	24	33	24	
Time-15	12	51	12	
Time-21	22	22	22	
Time-12	16	29	0	
Time-7	23	23	23	
Time-3	26	186	8	
Time-5	11	5	2	
Time-2	139	14	11	
Time-18	18	18	3	
Time-10	10	2	0	
Time-9	71	50	27	
Time-27	297	16	15	
Time-11	3	1	1	
