Chart-22	57	61	55	56	55	47	8	11	
Chart-5	4	27	3	24	4	4	4	7	
Chart-6	16	7	16	21	36	30	31	58	
Chart-2	74	78	61	175	71	60	60	111	
Chart-26	2197	2197	2468	2197	2064	1384	1317	622	
Chart-8	1	9	2	1	1	1	1	1	
Chart-11	5	5	9	5	5	5	5	15	
Chart-4	9	344	344	9	9	15	15	865	
Chart-21	46	66	46	46	97	61	61	59	
Chart-25	3116	3116	3116	3116	2947	3116	2947	2982	
Chart-1	1209	1212	1353	1209	1072	1059	791	357	
Chart-16	1	14	1	1	1	1	1	1	
Chart-3	4	95	15	4	4	4	4	12	
Chart-20	3	1	1	3	65	65	70	71	
Chart-12	634	644	900	623	376	119	26	5	
Chart-17	91	100	119	91	3	3	3	9	
Chart-9	237	254	281	237	222	232	121	49	
Chart-15	497	716	1064	715	262	19	13	34	
Chart-7	74	72	164	59	59	74	74	74	
