Chart-1	35	212	238	2463	47	35	35	35	
Chart-2	137	108	67	278	134	92	92	92	
Chart-3	4	97	12	537	27	4	4	4	
Chart-4	19	353	201	19	52	169	175	678	
Chart-5	6	28	5	204	16	6	6	6	
Chart-6	7	7	3	105	20	48	48	95	
Chart-7	59	72	59	59	59	59	59	59	
Chart-8	1	9	2	67	32	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	5	5	5	42	6	5	5	5	
Chart-12	8	14	208	2506	8	8	8	8	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	5	1	25	147	5	5	5	5	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	134	371	1445	134	134	134	134	667	
Lang-1	3	33	17	372	21	3	3	3	
Lang-2	13	9	13	15	22	13	13	13	
Lang-3	12	43	34	41	30	12	12	12	
Lang-4	5	2	5	12	5	5	5	5	
Lang-5	6	12	6	37	15	6	6	6	
Lang-6	99	16	32	41	99	99	99	99	
Lang-7	121	138	15	129	121	121	121	121	
Lang-9	54	38	54	54	232	54	54	69	
Lang-10	101	58	101	101	241	101	102	218	
Lang-12	3	4	3	3	3	3	3	4	
Lang-14	4	5	4	49	5	4	4	4	
Lang-15	12	183	9	12	12	12	143	216	
Lang-16	27	22	34	443	45	27	27	27	
Lang-17	116	33	116	26	1120	116	116	116	
Lang-18	4	44	4	6	4	4	4	4	
Lang-19	6	14	6	29	17	6	6	8	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	132	35	26	26	34	
Lang-26	116	116	116	402	382	116	116	116	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	3	30	11	53	12	3	3	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	3	3	3	3	3	3	3	3	
Lang-34	1	105	1	1	45	46	47	110	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	6	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	13	53	44	297	13	13	13	13	
Lang-44	3	3	3	166	3	3	3	3	
