Chart-1	37	115	37
Chart-2	16	48	6	
Chart-3	2	3	2	
Chart-4	60	195	60	
Chart-5	3	0	0	
Chart-6	221	225	221	
Chart-7	12	12	12	
Chart-8	2	2	2	
Chart-9	1	0	0	
Chart-11	15	15	15	
Chart-12	3	40	0	
Chart-15	2	2	2	
Chart-16	6	6	6	
Chart-17	2	24	2	
Chart-20	94	94	94	
Chart-21	1	1	0	
Chart-22	3	6	0	
Chart-25	1	1	1	
Chart-26	3	0	0	
Lang-1	3	8	3	
Lang-2	5	5	5	
Lang-3	4	10	4	
Lang-4	30	25	25	
Lang-5	4	4	4	
Lang-6	30	37	30	
Lang-7	3	1	1	
Lang-9	111	111	111	
Lang-10	107	109	107	
Lang-12	2	2	2	
Lang-14	16	16	16	
Lang-15	3	4	3	
Lang-16	2	0	0	
Lang-17	33	35	33	
Lang-18	46	47	46	
Lang-19	9	9	9	
Lang-20	4	0	0	
Lang-22	8	7	7	
Lang-26	30	41	30	
Lang-27	1	3	0	
Lang-28	2	3	2	
Lang-30	19	0	0	
Lang-31	4	4	4	
Lang-32	44	44	44	
Lang-34	84	89	84	
Lang-36	1	0	0	
Lang-37	3	3	3	
Lang-39	1	1	1	
Lang-40	1	0	0	
Lang-41	34	0	0	
Lang-42	5	20	5	
Lang-44	2	2	2	
Lang-46	4	4	4	
Lang-47	5	1	0	
Lang-48	33	37	27	
Lang-50	1	0	0	
Lang-53	5	5	5	
Lang-54	2	3	2	
Lang-55	4	5	4	
Lang-59	2	0	0	
Lang-60	10	38	6	
Lang-61	7	7	7	
Lang-62	3	0	0	
Lang-63	2	3	1	
Lang-64	4	4	4	
Lang-65	4	4	4	
Math-1	2	63	2	
Math-2	6	11	6	
Math-6	199	199	199	
Math-7	17	85	17	
Math-11	2	5	2	
Math-13	83	87	83	
Math-14	86	91	86	
Math-15	73	545	15	
Math-16	28	523	24	
Math-17	26	33	26	
Math-21	2	7	1	
Math-23	15	16	15	
Math-24	14	15	14	
Math-26	55	134	55	
Math-27	1	0	0	
Math-28	9	17	9	
Math-29	1	1	0	
Math-30	1	1	1	
Math-31	106	138	106	
Math-33	17	22	17	
Math-34	1	0	0	
Math-35	8	0	0	
Math-36	39	85	39	
Math-37	4	25	0	
Math-40	17	19	17	
Math-41	2	0	0	
Math-42	18	25	18	
Math-43	44	46	44	
Math-44	136	161	136	
Math-45	30	30	30	
Math-46	2	3	2	
Math-47	184	185	184	
Math-48	6	35	6	
Math-49	1	16	0	
Math-50	6	28	2	
Math-52	1	14	0	
Math-53	19	20	19	
Math-54	19	19	19	
Math-55	3	2	2	
Math-57	2	3	2	
Math-58	5	7	5	
Math-62	1	0	0	
Math-64	49	52	49	
Math-65	43	73	43	
Math-66	6	5	5	
Math-68	41	42	41	
Math-69	5	9	5	
Math-74	47	55	47	
Math-76	10	12	10	
Math-79	3	6	3	
Math-81	34	34	34	
Math-82	13	13	13	
Math-83	15	16	15	
Math-84	2	3	2	
Math-85	16	17	16	
Math-86	9	9	9	
Math-87	14	15	14	
Math-88	8	11	8	
Math-89	1	1	1	
Math-90	5	5	5	
Math-92	9	20	9	
Math-93	2	2	2	
Math-94	45	45	45	
Math-95	2	6	2	
Math-96	29	29	29	
Math-97	31	35	31	
Math-98	4	0	0	
Math-99	56	59	56	
Math-100	3	11	1	
Math-101	22	23	22	
Math-103	7	12	7	
Math-105	8	0	0	
Mockito-2	12	12	12	
Mockito-3	26	26	25	
Mockito-5	1	5	0	
Mockito-6	95	140	79	
Mockito-9	45	48	29	
Mockito-10	26	27	26	
Mockito-11	3	0	0	
Mockito-12	3	7	3	
Mockito-13	280	287	280	
Mockito-14	291	297	291	
Mockito-16	630	645	630	
Mockito-17	627	655	627	
Mockito-18	476	477	476	
Mockito-20	1037	1143	1037	
Mockito-21	1	1	0	
Mockito-22	265	265	265	
Mockito-23	1005	1039	1005	
Mockito-24	4	4	4	
Mockito-25	17	18	17	
Mockito-26	556	0	0	
Mockito-27	22	12	0	
Mockito-28	26	27	26	
Mockito-29	4	13	0	
Mockito-32	14	12	12	
Mockito-33	428	436	428	
Mockito-34	234	276	234	
Mockito-35	21	45	13	
Mockito-36	28	57	23	
Mockito-37	166	177	166	
Mockito-38	28	31	27	
Time-1	140	132	118	
Time-2	139	193	99	
Time-3	26	261	0	
Time-4	24	167	11	
Time-5	11	0	0	
Time-7	23	1	0	
Time-8	61	63	61	
Time-9	71	68	65	
Time-10	10	14	9	
Time-11	3	5	3	
Time-12	16	34	6	
Time-14	13	4	4	
Time-15	12	12	12	
Time-17	2	16	0	
Time-18	18	18	18	
Time-19	718	964	695	
Time-21	22	39	20	
Time-22	48	47	35	
Time-23	7	6	6	
Time-27	297	375	297	
