Lang-1	3	3	5	17	3	3	3	
Lang-2	16	16	20	6	12	19	12	
Lang-3	12	17	93	34	12	12	12	
Lang-5	6	6	13	5	6	6	6	
Lang-6	121	121	123	31	120	97	97	
Lang-7	112	112	113	15	130	112	112	
Lang-9	73	73	84	587	199	62	61	
Lang-10	98	98	119	60	60	76	60	
Lang-12	4	4	8	3	4	4	4	
Lang-14	4	4	5	4	4	4	4	
Lang-15	9	15	211	8	9	9	9	
Lang-16	4	4	7	34	4	4	4	
Lang-17	116	116	128	104	2	6	104	
Lang-18	35	30	43	32	59	88	8	
Lang-19	6	5	9	6	6	14	6	
Lang-20	8	8	9	8	27	27	27	
Lang-22	14	14	93	1	14	14	14	
Lang-26	21	21	26	5	278	136	5	
Lang-27	4	4	122	49	4	4	4	
Lang-28	3	3	3	12	10	3	3	
Lang-30	6	5	4	25	25	6	25	
Lang-31	4	4	5	26	4	4	4	
Lang-34	53	61	145	36	5	284	5	
Lang-36	12	12	23	23	12	12	12	
Lang-37	6	6	8	6	6	6	6	
Lang-39	24	24	29	24	36	24	24	
Lang-40	4	4	4	4	16	4	4	
Lang-41	4	4	4	3	36	36	36	
Lang-42	15	15	27	13	3	3	3	
Lang-44	3	3	5	3	3	3	3	
Lang-46	1	1	1	1	1	1	1	
Lang-47	5	5	6	17	334	38	38	
Lang-48	2	2	12	1	2	6	2	
Lang-50	15	9	5	37	117	113	115	
Lang-53	39	39	25	38	41	41	41	
Lang-54	4	4	6	10	4	4	4	
Lang-55	7	11	12	7	7	27	7	
Lang-59	6	6	6	9	19	6	6	
Lang-60	8	8	8	39	229	54	62	
Lang-61	8	8	42	21	8	8	8	
Lang-62	58	34	15	101	235	136	136	
Lang-63	32	32	3	22	32	32	32	
Lang-64	1	1	1	4	1	1	1	
Lang-65	7	15	15	2	12	9	7	
Chart-1	923	707	993	986	985	929	985	
Chart-2	60	60	111	61	175	71	74	
Chart-3	4	4	12	15	4	4	4	
Chart-4	40	40	904	533	509	118	509	
Chart-5	2	2	3	4	2	2	2	
Chart-6	30	31	58	16	21	36	16	
Chart-7	50	52	75	47	47	76	47	
Chart-8	1	1	1	2	1	1	1	
Chart-9	109	18	36	238	193	152	193	
Chart-11	5	5	15	9	5	5	5	
Chart-12	717	141	5	964	765	599	766	
Chart-15	8	8	34	937	227	8	8	
Chart-16	1	1	1	1	1	1	1	
Chart-17	3	3	9	119	91	3	91	
Chart-20	65	70	74	37	73	83	73	
Chart-21	3	3	6	13	3	3	3	
Chart-22	47	8	11	55	56	55	57	
Chart-25	3116	2947	2982	3116	3116	2947	3116	
Chart-26	1362	1306	371	2458	2187	2017	2187	
Math-1	52	47	5	612	756	457	513	
Math-2	136	136	148	9	178	103	38	
Math-6	123	268	19	90	69	7	69	
Math-7	43	43	60	143	4	4	4	
Math-11	3	3	8	49	3	3	3	
Math-13	373	385	647	698	182	154	182	
Math-14	291	294	560	583	171	91	92	
Math-15	841	1049	2025	650	603	644	603	
Math-16	829	1365	1617	638	591	632	591	
Math-17	94	94	117	3	923	609	19	
Math-21	40	40	45	88	40	40	40	
Math-23	146	146	147	108	59	141	146	
Math-24	266	322	202	181	262	365	262	
Math-26	39	42	49	14	184	83	20	
Math-27	2	2	3	27	183	65	65	
Math-28	1	1	15	5	1	1	1	
Math-29	127	74	36	167	227	201	204	
Math-30	28	28	28	25	2469	266	28	
Math-31	19	19	262	1	18	84	18	
Math-33	271	272	46	87	266	365	266	
Math-34	19	9	9	37	147	34	38	
Math-36	1	1	1	1	344	355	355	
Math-37	537	422	179	552	539	539	539	
Math-40	147	140	138	114	368	181	181	
Math-41	34	34	36	68	48	34	34	
Math-42	71	71	71	71	339	326	71	
Math-43	40	47	335	36	36	236	36	
Math-44	263	214	102	508	189	151	189	
Math-45	2	2	115	6	2	2	2	
Math-46	1	1	1	7	1	1	1	
Math-47	1	1	1	5	1	1	1	
Math-48	796	796	744	759	895	812	796	
Math-49	88	62	135	471	438	153	438	
Math-50	1	1	1	3	499	39	2	
Math-52	22	22	27	115	387	329	402	
Math-53	6	6	11	5	171	13	2	
Math-54	60	95	209	9	10	606	10	
Math-55	1	1	1	4	1	1	1	
Math-57	3	3	3	3	3	3	3	
Math-58	357	357	498	343	357	363	357	
Math-64	37	37	53	36	37	37	37	
Math-65	59	59	4	51	557	348	106	
Math-68	129	129	147	128	128	187	128	
Math-69	10	10	29	70	10	10	10	
Math-74	678	684	693	666	665	703	665	
Math-76	68	100	15	65	65	315	65	
Math-79	2	2	66	5	29	2	2	
Math-83	34	34	34	34	115	136	34	
Math-84	28	28	41	28	28	28	28	
Math-85	107	107	96	56	333	85	96	
Math-86	23	51	91	23	23	74	23	
Math-87	117	117	117	107	41	137	117	
Math-88	19	19	7	18	18	18	18	
Math-89	1	1	1	1	1	1	1	
Math-90	3	3	8	3	3	19	3	
Math-92	2	2	4	5	2	2	2	
Math-93	2	2	1	2	2	2	2	
Math-94	15	15	18	1	6	9	6	
Math-95	8	8	118	46	8	8	8	
Math-96	23	26	36	5	13	12	13	
Math-97	1	1	14	7	7	1	7	
Math-98	4	4	23	41	237	4	4	
Math-99	29	32	22	24	24	26	24	
Math-100	3	3	16	111	114	39	114	
Math-101	9	9	27	33	9	9	9	
Math-103	2	4	58	1	2	2	2	
Mockito-2	3	3	3	1	3	3	3	
Mockito-3	1	1	6	34	3	3	3	
Mockito-5	1343	1312	355	1417	1441	1341	1343	
Mockito-6	887	130	2	871	1075	878	882	
Mockito-9	276	276	419	678	455	79	253	
Mockito-10	38	38	13	220	64	82	64	
Mockito-11	1	1	1	6	32	1	1	
Mockito-12	107	45	8	109	109	107	109	
Mockito-13	231	232	370	137	383	504	383	
Mockito-14	416	445	332	226	193	66	193	
Mockito-16	339	36	28	248	181	96	181	
Mockito-17	4	4	6	7	4	4	4	
Mockito-18	9	9	66	9	9	9	9	
Mockito-20	179	197	230	100	346	364	346	
Mockito-21	226	6	3	233	228	227	228	
Mockito-22	10	11	16	4	695	269	10	
Mockito-23	138	25	6	414	342	83	342	
Mockito-24	1	1	1	145	1	1	1	
Mockito-25	27	27	12	354	205	81	205	
Mockito-26	139	169	282	29	28	428	28	
Mockito-27	900	872	440	903	900	900	900	
Mockito-28	244	250	316	213	200	415	200	
Mockito-29	1098	858	858	832	838	1097	1562	
Mockito-32	597	109	26	358	41	24	41	
Mockito-33	61	100	318	53	53	434	53	
Mockito-34	442	451	205	233	432	448	432	
Mockito-35	738	658	81	797	772	735	772	
Mockito-36	13	13	731	13	13	13	13	
Mockito-37	2	2	135	2	2	224	2	
Mockito-38	6	6	20	29	78	74	78	
Time-1	23	23	4	725	931	233	931	
Time-2	656	428	3	1674	1657	1592	1657	
Time-3	1844	719	9	1861	1855	1850	1855	
Time-4	20	20	35	1453	1657	935	1657	
Time-5	14	13	62	850	1012	992	1012	
Time-7	93	28	8	2111	2089	1902	2089	
Time-8	406	296	13	1139	1092	1013	1092	
Time-9	277	148	232	1064	1053	941	1053	
Time-10	621	780	774	1274	1484	949	1484	
Time-11	402	497	1035	23	402	628	402	
Time-12	1643	402	20	2018	2573	1656	1662	
Time-14	1936	227	144	2002	1979	1923	1979	
Time-15	6	6	2	11	13	11	13	
Time-17	1688	1457	1	1966	1713	1697	1697	
Time-18	3	3	3	683	2049	192	2	
Time-19	187	187	215	36	1469	931	174	
Time-21	18	18	114	261	863	716	870	
Time-22	52	36	91	1114	1111	1009	1111	
Time-23	14	15	23	247	633	54	14	
Time-27	292	327	732	47	47	1135	47	
