Chart-1	212	212	212	212	212	212	212	212	
Chart-2	108	108	108	108	108	108	108	11	
Chart-3	97	97	97	97	97	97	97	97	
Chart-4	353	353	353	353	353	353	353	962	
Chart-5	28	28	28	28	28	28	28	28	
Chart-6	7	7	7	7	7	7	7	49	
Chart-7	73	72	76	76	73	73	73	73	
Chart-8	9	9	9	12	9	9	9	9	
Chart-9	192	192	192	192	192	192	192	192	
Chart-11	5	5	5	5	5	5	5	5	
Chart-12	35	14	35	155	100	35	35	35	
Chart-15	585	552	585	86	554	585	585	585	
Chart-16	1	14	1	1	1	1	1	4	
Chart-17	63	63	63	63	63	63	63	63	
Chart-20	1	1	1	1	1	1	1	1	
Chart-21	75	68	75	324	277	75	75	75	
Chart-22	57	61	58	57	60	57	54	13	
Chart-25	3133	3267	3133	3133	3267	3133	3133	163	
Chart-26	373	371	373	373	373	373	373	3124	
Lang-1	33	33	33	1566	1425	33	33	33	
Lang-2	11	9	11	16	14	11	11	11	
Lang-3	43	43	43	43	43	43	43	43	
Lang-4	3	2	3	42	40	3	3	3	
Lang-5	12	12	12	20	16	12	12	12	
Lang-6	17	16	17	63	37	17	17	17	
Lang-7	138	138	138	138	138	138	138	138	
Lang-9	51	38	51	51	51	51	51	162	
Lang-10	58	58	58	58	58	58	58	59	
Lang-12	4	4	3	4	4	4	4	7	
Lang-14	5	5	5	5	5	5	5	5	
Lang-15	12	183	9	12	12	12	191	217	
Lang-16	22	22	22	269	195	22	22	22	
Lang-17	33	33	33	33	33	33	33	33	
Lang-18	44	44	44	44	44	44	44	44	
Lang-19	15	14	15	15	15	15	15	17	
Lang-20	28	28	28	28	600	28	28	28	
Lang-22	22	22	29	22	22	22	38	45	
Lang-26	116	116	116	116	116	116	116	116	
Lang-27	146	146	146	146	146	146	146	146	
Lang-28	30	30	30	54	54	30	30	30	
Lang-30	25	25	25	25	25	4	3	3	
Lang-31	5	5	7	5	5	5	5	7	
Lang-32	3	3	3	3	3	3	3	3	
Lang-34	1	105	1	1	2	2	2	142	
Lang-36	37	37	37	37	37	37	37	41	
Lang-37	25	25	110	110	25	25	25	25	
Lang-39	27	26	27	652	650	27	27	27	
Lang-40	4	4	4	102	102	4	4	4	
Lang-41	38	38	38	38	44	38	38	38	
Lang-42	53	53	53	53	53	53	53	53	
Lang-44	3	3	3	114	3	3	3	3	
Lang-46	1	3	1	33	3	1	1	1	
Lang-47	35	35	35	51	35	35	7	4	
Lang-48	9	9	41	41	9	9	9	9	
Lang-50	141	141	141	141	194	141	141	21	
Lang-53	203	123	114	2	123	123	75	75	
