Chart-1	1360	1360	1419	1360	1325	1360	1337	488	
Chart-2	265	265	265	265	265	265	265	123	
Chart-3	349	349	349	349	349	349	349	382	
Chart-4	955	993	1030	955	765	893	606	2304	
Chart-5	140	128	122	148	119	140	152	167	
Chart-6	28	28	26	28	10	10	10	30	
Chart-7	35	48	35	35	35	35	35	141	
Chart-8	1	9	2	1	1	1	1	1	
Chart-9	392	392	392	392	392	392	392	404	
Chart-11	5	5	9	5	5	5	5	15	
Chart-12	1553	1553	1563	1553	1559	1553	1408	5	
Chart-15	4428	4581	4779	4428	4772	4428	4184	1262	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	326	326	326	326	328	326	323	147	
Chart-20	81	81	81	81	193	81	69	4	
Chart-21	34	64	57	34	34	34	34	125	
Chart-22	92	92	92	92	90	92	92	20	
Chart-25	3116	3116	3116	3116	2947	3116	2947	2982	
Chart-26	3617	3617	3621	3617	3621	3617	3579	984	
Lang-1	66	66	70	66	66	48	48	12	
Lang-2	6	9	2	6	6	6	6	26	
Lang-3	54	54	41	54	54	36	36	71	
Lang-4	2	2	5	2	2	2	2	5	
Lang-5	5	12	5	5	5	5	5	7	
Lang-6	126	116	116	126	126	127	128	205	
Lang-7	209	182	209	209	48	209	209	165	
Lang-9	28	34	28	28	28	28	28	104	
Lang-10	35	42	1	35	35	38	38	217	
Lang-12	3	4	3	3	3	3	3	12	
Lang-14	4	5	4	49	5	4	4	4	
Lang-15	194	194	194	194	194	194	194	261	
Lang-16	364	217	121	447	124	364	364	364	
Lang-17	107	106	107	107	118	118	118	162	
Lang-18	47	35	57	47	78	78	78	122	
Lang-19	2	13	2	2	2	2	2	2	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	1	14	14	14	14	93	
Lang-26	116	153	46	116	1	1	1	10	
Lang-27	88	88	91	88	91	88	88	168	
Lang-28	46	46	46	46	55	46	45	20	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	57	57	57	57	57	57	57	16	
Lang-32	2	2	2	2	2	2	2	3	
Lang-34	229	229	229	229	229	229	229	11	
Lang-36	136	136	136	136	136	136	136	79	
Lang-37	6	25	6	6	6	6	6	8	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	141	141	141	141	141	141	139	78	
Lang-44	3	3	3	3	3	3	3	5	
Lang-46	1	3	1	1	1	1	1	6	
Lang-47	784	586	511	944	507	784	781	781	
Lang-48	5	8	5	5	5	5	5	48	
Lang-50	235	243	240	246	240	235	235	27	
Lang-53	35	35	33	35	33	33	33	47	
Lang-54	17	17	10	17	10	10	10	15	
Lang-55	2	14	2	2	2	2	2	5	
Lang-59	6	12	6	880	6	6	6	6	
Lang-60	176	176	176	176	189	176	167	215	
Lang-61	173	173	173	173	186	173	164	220	
Lang-62	219	170	169	219	172	219	219	8	
Lang-63	14	11	14	14	14	17	19	25	
Lang-64	103	103	103	103	101	103	102	105	
Lang-65	7	9	2	123	9	7	7	7	
Math-1	906	906	916	906	916	906	874	86	
Math-2	101	194	28	101	21	21	21	164	
Math-6	36	18	39	36	57	57	61	106	
Math-7	990	990	1003	990	985	990	969	32	
Math-11	3	30	49	3	3	3	3	8	
Math-13	134	134	142	134	149	149	155	698	
Math-14	13	48	13	13	190	67	121	975	
Math-15	13	13	13	13	13	13	13	153	
Math-16	1	1	1	1	82	155	168	1090	
Math-17	679	678	676	679	676	681	717	1003	
Math-21	170	171	171	170	170	153	110	198	
Math-23	23	100	23	23	23	23	23	224	
Math-24	256	260	256	256	273	257	261	237	
Math-26	437	429	437	437	450	437	451	510	
Math-27	233	233	233	233	233	233	233	152	
Math-28	119	191	119	119	120	120	120	74	
Math-29	329	334	306	329	306	329	321	279	
Math-30	25	263	25	25	25	25	25	53	
Math-31	270	270	270	270	344	270	270	287	
Math-33	338	343	338	338	135	95	95	20	
Math-34	110	110	110	110	106	110	109	15	
Math-35	9	14	9	9	8	9	9	8	
Math-36	364	364	364	364	364	364	364	153	
Math-37	523	540	540	523	523	523	414	287	
Math-40	169	169	169	169	137	127	127	92	
Math-41	446	449	450	446	443	446	395	88	
Math-42	316	316	173	316	83	78	78	44	
Math-43	85	145	162	85	23	23	23	223	
Math-44	369	354	368	369	979	454	475	22	
Math-45	425	425	425	425	449	425	404	461	
Math-46	637	638	645	637	601	637	509	14	
Math-47	14	12	15	14	300	302	303	24	
Math-48	489	489	489	489	485	489	489	943	
Math-49	1201	1206	1206	1201	1229	1201	1196	1316	
Math-50	486	486	486	486	482	486	486	45	
Math-52	664	708	700	664	685	664	580	81	
Math-53	26	26	28	26	26	26	26	6	
Math-54	678	678	678	678	964	678	678	852	
Math-55	474	546	480	474	474	474	474	184	
Math-57	1	329	1	1	1	1	1	10	
Math-58	357	56	343	357	363	357	357	498	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	87	31	92	87	102	118	118	14	
Math-65	252	252	252	252	252	252	336	258	
Math-66	13	6	9	13	15	15	59	504	
Math-68	137	11	90	137	129	129	129	156	
Math-69	10	15	70	10	10	10	10	29	
Math-74	121	202	121	121	625	173	508	877	
Math-76	396	396	377	396	240	209	209	100	
Math-79	199	199	199	199	144	199	383	391	
Math-81	322	63	342	322	389	353	374	177	
Math-82	204	197	204	204	205	205	205	229	
Math-83	70	161	70	70	76	84	84	109	
Math-84	20	70	20	20	20	20	20	66	
Math-85	162	162	162	162	142	162	136	264	
Math-86	4	75	4	108	74	57	57	61	
Math-87	70	119	70	70	76	109	109	32	
Math-88	245	255	252	245	111	91	91	112	
Math-89	1	4	1	1	1	1	1	1	
Math-90	4	4	4	4	4	4	4	56	
Math-92	2	14	5	37	2	2	2	2	
Math-93	2	2	21	114	3	2	2	2	
Math-94	1	1	1	1	1	1	1	1	
Math-95	84	87	88	84	390	84	84	122	
Math-96	19	19	19	19	16	8	7	4	
Math-97	7	9	22	7	7	7	7	21	
Math-98	4	27	39	774	4	4	4	4	
Math-99	20	20	20	20	19	19	19	19	
Math-100	269	269	269	269	269	269	269	151	
Math-101	57	58	35	57	33	33	33	20	
Math-103	40	40	40	40	40	40	40	37	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	3	1	1	3	3	3	3	3	
Mockito-3	615	615	615	615	615	615	613	433	
Mockito-5	3090	2914	925	1507	2914	2914	1350	1350	
Mockito-6	1250	1251	1251	1250	1226	1246	1217	263	
Mockito-9	282	265	295	282	420	416	440	209	
Mockito-10	275	296	289	275	382	378	396	258	
Mockito-11	679	679	684	679	684	679	679	6	
Mockito-12	5	5	5	5	2	2	2	2	
Mockito-13	336	340	340	336	78	67	67	337	
Mockito-14	167	234	176	167	243	244	244	281	
Mockito-16	89	206	130	89	161	167	167	437	
Mockito-17	63	114	77	63	63	63	63	344	
Mockito-18	361	361	361	361	361	361	361	312	
Mockito-20	20	90	91	20	20	20	20	306	
Mockito-21	225	226	227	225	224	225	224	8	
Mockito-22	312	312	312	312	331	312	312	564	
Mockito-23	285	295	291	285	417	415	420	172	
Mockito-24	2082	2114	2177	2082	2120	2082	1968	731	
Mockito-25	262	289	268	262	387	387	408	577	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	915	915	915	915	910	915	915	478	
Mockito-28	128	313	128	128	487	175	175	306	
Mockito-29	935	908	905	935	904	935	935	935	
Mockito-32	234	106	288	234	481	392	419	1223	
Mockito-33	399	399	398	399	312	160	158	475	
Mockito-34	484	484	484	484	478	483	476	808	
Mockito-35	872	875	875	872	873	872	870	435	
Mockito-36	221	230	230	221	164	163	147	1076	
Mockito-37	405	405	405	405	401	401	401	72	
Mockito-38	521	521	521	521	157	113	97	24	
Time-1	1505	1505	1505	1505	1505	1505	1505	277	
Time-2	2029	2043	2043	2029	1982	2030	2092	611	
Time-3	2370	2374	2398	2370	2363	2370	2286	477	
Time-4	2648	2637	2630	2648	2630	2642	2633	1615	
Time-5	2005	2005	2015	2005	2005	2005	1992	315	
Time-7	2756	2781	2822	2756	2738	2755	2450	741	
Time-8	1442	1442	1442	1442	1442	1442	1437	167	
Time-9	1431	1431	1432	1431	1432	1431	1428	165	
Time-10	1932	1932	1937	1932	1911	1932	1911	642	
Time-11	402	300	23	402	628	402	497	1035	
Time-12	2250	2250	2261	2250	2265	2250	2192	77	
Time-14	3173	3179	3192	3173	3188	3173	3090	1342	
Time-15	2	2	55	96	2	2	2	2	
Time-17	2756	2759	2770	2756	2770	2756	2750	739	
Time-18	2005	2006	2006	2005	2006	2005	2003	1909	
Time-19	1406	1406	1406	1406	1270	1406	1406	101	
Time-21	1776	1777	1777	1776	1777	1776	1775	989	
Time-22	1774	1774	1774	1774	1769	1774	1765	505	
Time-23	828	828	828	828	828	828	826	103	
Time-27	1021	1021	1021	1021	967	1110	1252	3188	
