Chart-1	14	212	1066	1907	14	14	14	14	
Chart-2	108	108	108	133	108	102	102	11	
Chart-3	84	97	84	134	84	84	84	84	
Chart-4	50	353	583	50	50	50	50	173	
Chart-5	15	28	3	144	25	15	15	15	
Chart-6	3	7	44	50	3	3	3	16	
Chart-7	59	72	59	65	59	59	59	59	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	165	192	166	212	165	165	165	165	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	379	718	5	5	5	5	
Chart-15	305	552	1181	2887	305	305	305	305	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	41	63	68	110	41	41	41	41	
Chart-20	1	1	1	178	1	1	1	1	
Chart-21	38	68	61	42	38	38	38	38	
Chart-22	60	61	60	60	77	60	60	19	
Chart-25	3267	3267	3267	3267	3098	3267	3248	2945	
Chart-26	58	371	1256	58	58	58	58	594	
Lang-1	10	33	20	102	10	10	10	10	
Lang-2	17	9	2	82	24	17	17	17	
Lang-3	25	43	35	114	25	25	25	25	
Lang-4	2	2	6	24	2	2	2	2	
Lang-5	5	12	5	27	5	5	5	5	
Lang-6	99	16	32	72	99	99	99	99	
Lang-7	147	138	147	1600	1538	147	147	147	
Lang-9	32	38	32	32	32	32	32	46	
Lang-10	43	58	1	311	113	63	63	63	
Lang-12	3	4	3	3	3	3	3	7	
Lang-14	4	5	4	49	5	4	4	4	
Lang-15	183	183	183	183	183	183	183	261	
Lang-16	33	22	33	132	70	33	33	33	
Lang-17	116	33	116	2	108	116	116	116	
Lang-18	68	44	14	88	155	68	68	68	
Lang-19	2	14	3	2	2	2	2	2	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	1	14	14	14	14	29	
Lang-26	7	116	40	308	7	7	7	7	
Lang-27	128	146	140	128	128	128	128	128	
Lang-28	11	30	21	38	11	11	11	11	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	5	16	4	4	4	4	
Lang-32	3	3	4	5	3	3	3	3	
Lang-34	1	105	19	1	1	1	1	7	
Lang-36	37	37	37	37	37	37	37	41	
Lang-37	6	25	58	794	6	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	51	53	51	207	51	51	51	51	
Lang-44	3	3	3	9	3	3	3	3	
Lang-46	1	3	1	44	1	1	1	1	
Lang-47	35	35	27	322	35	27	27	27	
Lang-48	6	9	6	34	6	6	6	6	
Lang-50	138	141	38	121	138	38	37	6	
Lang-53	78	123	136	138	123	123	138	138	
