Chart-1	14	212	1066	1907	14	14	14	14	
Chart-2	137	108	43	302	134	92	92	92	
Chart-3	84	97	84	134	84	84	84	84	
Chart-4	50	353	583	50	50	50	50	173	
Chart-5	15	28	3	144	25	15	15	15	
Chart-6	3	7	15	14	3	3	3	17	
Chart-7	59	72	59	65	59	59	59	59	
Chart-8	1	9	2	53	1	1	1	1	
Chart-9	69	192	37	848	88	69	69	69	
Chart-11	5	5	43	48	5	5	5	5	
Chart-12	5	14	379	718	5	5	5	5	
Chart-15	211	552	1840	4019	211	211	211	211	
Chart-16	1	14	1	1	1	1	1	1	
Chart-17	41	63	68	110	41	41	41	41	
Chart-20	1	1	134	178	1	1	1	1	
Chart-21	38	68	61	42	38	38	38	38	
Chart-22	60	61	60	60	77	60	60	19	
Chart-25	3267	3267	3267	3267	3098	3267	3248	2945	
Chart-26	174	371	1163	174	174	174	174	660	
Lang-1	10	33	20	102	10	10	10	10	
Lang-2	17	9	2	82	24	17	17	17	
Lang-3	25	43	35	114	25	25	25	25	
Lang-4	5	2	5	26	5	5	5	5	
Lang-5	5	12	5	27	5	5	5	5	
Lang-6	99	16	32	72	99	99	99	99	
Lang-7	121	138	15	239	139	121	121	121	
Lang-9	32	38	32	32	32	32	32	46	
Lang-10	43	58	1	311	113	63	63	63	
Lang-12	3	4	3	3	3	3	3	7	
Lang-14	4	5	123	658	4	4	4	4	
Lang-15	183	183	183	183	183	183	183	261	
Lang-16	4	22	40	209	4	4	4	4	
Lang-17	116	33	116	2	108	116	116	116	
Lang-18	56	44	27	95	143	56	56	56	
Lang-19	6	14	6	6	6	6	6	7	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	1	14	14	14	14	29	
Lang-26	15	116	40	242	15	15	15	15	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	11	30	21	38	11	11	11	11	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	5	16	4	4	4	4	
Lang-32	3	3	9	2	3	3	3	3	
Lang-34	1	105	19	1	1	1	1	7	
Lang-36	19	37	41	19	19	19	19	23	
Lang-37	6	25	58	794	6	6	6	6	
Lang-39	26	26	116	765	26	26	26	26	
Lang-40	3	4	94	561	3	3	3	3	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	51	53	51	207	51	51	51	51	
Lang-44	3	3	3	9	3	3	3	3	
Lang-46	1	3	1	44	1	1	1	1	
Lang-47	35	35	27	322	35	27	27	27	
Lang-48	6	9	6	34	6	6	6	6	
Lang-50	138	141	38	121	138	38	37	6	
Lang-53	78	123	136	138	123	123	138	138	
Lang-54	10	15	10	35	10	10	10	10	
Lang-55	2	14	2	2	2	2	2	2	
Lang-59	10	12	10	277	10	10	10	10	
Lang-60	8	49	109	660	8	8	8	8	
Lang-61	11	49	24	191	11	11	11	24	
Lang-62	114	157	116	170	157	157	167	167	
Lang-63	21	25	24	110	21	21	21	21	
Lang-64	22	36	33	45	22	22	22	22	
Lang-65	7	9	7	54	7	7	7	7	
Math-1	407	407	509	604	407	386	386	51	
Math-2	38	34	5	1720	52	38	38	38	
Math-6	70	23	70	70	107	107	107	123	
Math-7	215	358	221	725	260	215	215	215	
Math-11	8	35	55	675	8	8	8	8	
Math-13	144	177	152	165	144	144	144	144	
Math-14	50	98	113	89	50	50	50	50	
Math-15	633	13	343	13	633	633	633	633	
Math-16	596	591	399	1	596	596	596	595	
Math-17	113	480	19	685	703	113	113	113	
Math-21	53	115	101	70	53	53	53	53	
Math-23	148	243	14	117	237	148	148	148	
Math-24	150	101	16	167	310	150	150	150	
Math-26	369	42	26	123	432	369	369	369	
Math-27	28	28	28	35	28	28	28	28	
Math-28	63	209	3	316	178	63	63	63	
Math-29	197	198	145	131	162	15	11	7	
Math-30	28	266	28	38	28	28	28	28	
Math-31	160	35	8	491	160	330	330	330	
Math-33	69	103	19	467	129	69	69	69	
Math-34	14	15	4	135	14	14	14	14	
Math-35	9	14	9	9	8	9	9	8	
Math-36	355	355	355	357	355	355	355	37	
Math-37	247	247	245	266	245	213	213	199	
Math-40	36	97	98	461	36	36	36	36	
Math-41	35	84	342	560	35	35	35	35	
Math-42	115	319	67	4100	252	115	115	115	
Math-43	61	125	111	61	61	61	61	63	
Math-44	159	111	407	161	201	159	159	159	
