Chart-1	812	875	922	812	587	765	563	119	
Chart-2	137	108	67	278	134	92	92	92	
Chart-3	4	95	15	4	4	4	4	12	
Chart-4	740	745	740	740	246	374	67	2166	
Chart-5	4	27	3	24	4	4	4	7	
Chart-6	27	27	27	27	3	15	15	92	
Chart-7	35	48	35	35	35	35	35	170	
Chart-8	33	33	2	33	33	2	2	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	6	6	5	6	6	5	5	6	
Chart-12	3	12	240	1317	3	3	3	20	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	31	31	31	31	33	31	31	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	79	79	81	79	1	1	1	34	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	1421	1310	1687	1421	771	134	134	667	
Lang-1	3	33	17	3	3	3	3	5	
Lang-2	15	11	6	15	15	6	9	31	
Lang-3	51	54	41	51	51	33	33	18	
Lang-4	2	2	2	2	2	2	2	34	
Lang-5	5	12	5	5	5	5	5	14	
Lang-6	16	16	16	16	16	16	16	176	
Lang-7	152	144	126	232	152	152	134	134	
Lang-9	62	62	62	62	62	62	62	467	
Lang-10	71	71	71	71	71	71	71	522	
Lang-12	3	4	3	3	3	3	3	4	
Lang-14	5	5	4	5	5	4	4	5	
Lang-15	8	180	8	8	8	8	33	227	
Lang-16	50	22	34	443	50	32	32	32	
Lang-17	5	5	5	5	5	5	5	92	
Lang-18	88	88	88	88	88	88	88	10	
Lang-19	28	31	28	28	34	28	28	23	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	35	25	35	35	16	35	35	86	
Lang-26	154	154	139	154	181	130	48	90	
Lang-27	151	152	53	486	151	133	133	133	
Lang-28	22	43	17	35	29	4	4	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	23	24	26	141	4	4	20	29	
Lang-32	2	2	2	2	2	2	2	3	
Lang-34	227	227	227	227	1	1	1	209	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	25	25	6	70	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	15	45	14	25	15	15	19	31	
Lang-44	3	3	3	3	3	3	3	10	
Lang-46	1	3	1	1	1	1	1	6	
Lang-47	35	39	15	366	35	5	7	7	
Lang-48	9	9	5	9	5	5	5	77	
Lang-50	147	179	75	247	145	56	8	2	
Lang-53	82	50	33	34	82	82	82	80	
Lang-54	4	15	3	74	11	4	4	4	
Lang-55	14	14	14	14	14	14	14	43	
Lang-59	301	341	354	845	300	301	259	73	
Lang-60	61	59	59	61	60	22	26	53	
Lang-61	46	49	49	167	46	13	16	80	
Lang-62	231	190	128	139	190	190	190	190	
Lang-63	1	25	20	111	1	1	1	1	
Lang-64	42	42	4	42	38	1	1	1	
Lang-65	2	4	2	7	4	2	9	35	
Math-1	520	520	763	1085	520	55	48	12	
Math-2	90	182	24	90	75	10	10	16	
Math-6	4	4	4	4	11	11	14	166	
Math-7	491	501	416	491	338	180	154	88	
Math-11	3	30	4	3	3	3	3	31	
Math-13	114	134	114	114	114	114	114	1120	
Math-14	77	77	77	77	77	77	77	757	
Math-15	13	13	161	13	13	2	2	3	
Math-16	1	1	40	1	1	2	2	26	
Math-17	611	642	611	611	642	611	613	181	
Math-21	42	115	66	63	80	42	42	47	
Math-23	23	100	23	23	23	23	23	98	
Math-24	164	164	164	164	164	164	164	4	
Math-26	87	78	78	87	20	14	14	36	
Math-27	67	84	124	294	67	4	4	4	
Math-28	1	146	2	1	1	1	1	15	
Math-29	197	198	125	161	159	6	6	6	
Math-30	28	266	25	2469	266	28	28	28	
Math-31	270	270	270	270	267	270	267	363	
Math-33	356	354	356	356	349	356	355	155	
Math-34	3	15	18	147	3	3	3	3	
Math-35	9	14	9	9	8	9	9	8	
Math-36	364	364	364	364	361	364	361	117	
Math-37	247	247	238	452	230	12	5	3	
Math-40	89	113	118	89	1	1	1	9	
Math-41	35	84	258	642	35	35	35	35	
Math-42	306	315	155	306	68	104	73	31	
Math-43	163	163	163	163	129	163	163	308	
Math-44	143	143	143	143	148	148	148	110	
Math-45	7	7	6	7	2	2	2	148	
Math-46	14	20	298	646	13	1	1	2	
Math-47	11	11	11	11	11	11	11	140	
Math-48	1	327	3	1	34	1	1	38	
Math-49	7	412	131	1428	9	7	7	7	
Math-50	1	60	3	1	1	1	1	1	
Math-52	22	368	27	892	308	22	22	22	
Math-53	17	17	6	17	13	2	2	13	
Math-54	7	471	26	7	7	7	7	498	
Math-55	321	481	449	390	318	1	12	43	
Math-57	371	371	371	371	2527	371	371	423	
Math-58	37	48	37	37	37	37	37	197	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	77	88	77	77	77	77	77	23	
Math-65	58	58	58	58	1	1	1	19	
Math-66	9	6	9	9	9	9	9	12	
Math-68	60	60	60	60	60	60	60	51	
Math-69	189	190	189	189	98	189	189	13	
Math-74	50	118	7	50	5	5	5	585	
Math-76	180	226	209	180	4	4	4	44	
Math-79	6	7	5	33	6	6	6	66	
Math-81	26	26	26	26	26	26	26	304	
Math-82	169	169	169	169	169	169	169	196	
Math-83	135	135	193	135	193	193	193	109	
Math-84	93	93	93	93	93	93	108	116	
Math-85	32	63	56	32	17	21	17	58	
Math-86	55	75	55	55	55	55	55	229	
Math-87	12	114	12	12	71	71	71	138	
Math-88	161	222	37	161	17	17	17	9	
Math-89	1	4	1	97	4	1	1	1	
Math-90	4	4	4	4	4	4	4	27	
Math-92	7	7	6	7	7	6	6	19	
Math-93	2	2	21	114	3	2	2	2	
Math-94	1	1	1	1	1	1	1	2	
Math-95	30	60	24	235	67	30	30	14	
Math-96	19	19	19	19	14	3	1	2	
Math-97	10	12	22	10	7	7	7	15	
Math-98	4	27	39	774	4	4	4	4	
Math-99	20	20	20	20	19	19	19	5	
Math-100	3	107	78	13	3	3	3	10	
Math-101	58	58	58	58	56	33	33	9	
Math-103	53	42	21	79	146	53	53	53	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	244	244	175	244	343	37	39	61	
Mockito-3	686	682	698	686	532	3	3	9	
Mockito-5	3090	2914	925	1507	2914	2914	1350	1350	
Mockito-6	1000	1065	1072	1004	874	862	1	6	
Mockito-9	218	221	611	218	78	6	6	38	
Mockito-10	210	241	418	210	82	4	4	31	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-12	125	125	125	125	33	33	33	4	
Mockito-13	370	372	370	370	222	352	4	134	
Mockito-14	66	66	66	66	66	97	5	109	
Mockito-16	181	188	181	181	175	155	155	676	
Mockito-17	58	58	58	58	58	58	58	4	
Mockito-18	321	323	321	321	107	319	311	114	
Mockito-20	361	361	361	361	361	361	361	994	
Mockito-21	217	221	28	42	213	2	1	1	
Mockito-22	259	259	259	259	1	246	229	18	
Mockito-23	83	83	83	83	74	70	70	273	
Mockito-24	637	666	1006	2404	485	1	1	1	
Mockito-25	75	83	219	75	80	47	62	87	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-28	350	350	350	350	350	350	350	486	
Mockito-29	80	80	9	592	80	9	9	7	
Mockito-32	41	24	863	41	24	41	47	44	
Mockito-33	378	379	378	378	4	4	3	166	
Mockito-34	423	423	423	423	245	385	374	194	
Mockito-35	562	578	560	1118	557	496	30	16	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-37	399	399	399	399	368	396	382	291	
Mockito-38	439	471	507	439	27	11	11	7	
Time-1	818	818	503	818	231	20	16	123	
Time-2	931	931	617	931	234	24	24	128	
Time-3	1791	1798	960	1791	1744	1	1	1	
Time-4	1392	1437	351	1392	920	12	12	40	
Time-5	1016	1024	869	1488	1011	32	9	97	
Time-7	1833	1834	1028	1833	1063	5	5	22	
Time-8	476	476	41	476	216	4	4	8	
Time-9	474	474	195	474	405	1	1	14	
Time-10	1100	1142	1014	493	411	15	168	178	
Time-11	412	300	402	1802	1207	412	412	412	
Time-12	1532	1533	1066	2543	1235	20	3	2	
Time-14	1889	1894	1931	1889	1763	25	15	11	
Time-15	18	18	25	55	18	9	8	7	
Time-17	1	488	1206	3527	1	1	1	1	
Time-18	1347	1377	722	1396	1160	2	44	85	
Time-19	1042	1042	1042	1042	268	5	5	380	
Time-21	998	1010	345	904	772	18	20	135	
Time-22	1052	1052	1053	1052	1007	83	15	57	
Time-23	15	83	335	1134	109	15	15	15	
Time-27	36	40	32	36	17	17	17	288	
