Chart-1	35	212	241	2512	47	35	35	35	
Chart-2	137	108	67	278	134	92	92	92	
Chart-3	4	97	17	477	4	4	4	4	
Chart-4	19	353	201	19	52	169	175	678	
Chart-5	6	28	5	244	16	6	6	6	
Chart-6	7	7	3	106	20	48	48	95	
Chart-7	70	72	43	320	83	70	70	70	
Chart-8	1	9	1	46	1	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	5	5	34	86	5	5	5	5	
Chart-12	6	14	509	2492	6	6	6	6	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	5	1	25	154	5	5	5	5	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	134	371	1445	134	134	134	134	667	
Lang-1	3	33	21	153	3	3	3	3	
Lang-2	17	9	9	57	26	17	17	17	
Lang-3	11	43	32	118	29	11	11	11	
Lang-4	5	2	5	12	5	5	5	5	
Lang-5	6	12	5	36	13	6	6	6	
Lang-6	87	16	32	459	87	87	87	87	
Lang-7	121	138	15	236	139	121	121	121	
Lang-9	54	38	57	54	54	54	66	69	
Lang-10	60	58	60	62	59	61	81	177	
Lang-12	3	4	3	3	3	3	3	4	
Lang-14	4	5	4	1267	5	4	4	4	
Lang-15	12	183	9	12	12	12	143	216	
Lang-16	27	22	34	438	45	27	27	27	
Lang-17	109	33	109	2	6	109	109	109	
Lang-18	4	44	4	6	4	4	4	4	
Lang-19	6	14	6	27	22	6	6	8	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	14	33	14	31	32	
Lang-26	7	116	1	184	128	7	7	7	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	3	30	11	53	12	3	3	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	3	3	3	3	3	3	3	3	
Lang-34	1	105	1	1	152	49	49	86	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	8	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	13	53	52	403	13	13	13	13	
Lang-44	3	3	3	159	3	3	3	3	
Lang-46	1	3	1	44	1	1	1	1	
Lang-47	35	35	89	960	35	5	5	5	
Lang-48	2	9	2	5	6	2	2	2	
Lang-50	134	141	42	143	115	15	8	2	
Lang-53	198	123	40	9	123	123	119	119	
Lang-54	4	15	3	74	11	4	4	4	
Lang-55	14	14	14	22	17	14	14	14	
Lang-59	6	12	6	864	6	6	6	6	
Lang-60	8	49	122	358	8	8	8	8	
Lang-61	8	49	16	426	8	14	21	21	
Lang-62	163	157	109	163	157	157	152	152	
Lang-63	1	25	20	111	1	1	1	1	
Lang-64	1	36	4	138	3	1	1	1	
Lang-65	7	9	2	101	9	7	7	7	
Math-1	361	407	742	1083	44	16	16	11	
Math-2	38	34	16	403	103	38	38	38	
Math-6	45	23	67	45	312	69	299	134	
Math-7	40	358	360	1022	84	40	40	40	
Math-11	31	35	5	975	57	31	31	31	
Math-13	163	177	126	332	163	163	163	163	
Math-14	99	98	99	58	95	99	99	99	
Math-15	2	13	1168	13	2	2	2	2	
Math-16	2	591	1166	1	2	2	2	2	
Math-17	81	480	25	721	671	81	81	81	
Math-21	42	115	66	63	80	42	42	47	
Math-23	152	243	114	158	251	152	152	152	
Math-24	145	101	145	159	135	145	145	145	
Math-26	27	42	14	507	41	27	27	27	
Math-27	1	28	106	294	1	1	1	1	
Math-28	13	209	6	298	128	13	13	13	
Math-29	197	198	125	161	159	6	6	6	
Math-30	28	266	25	2469	266	28	28	28	
Math-31	29	35	1	451	262	95	119	194	
Math-33	27	103	25	339	362	27	27	27	
Math-34	3	15	18	147	3	3	3	3	
Math-35	9	14	9	9	8	9	9	8	
Math-36	355	355	37	61	355	37	37	1	
Math-37	247	247	238	452	230	12	5	3	
Math-40	29	97	115	473	39	29	29	29	
Math-41	35	84	258	642	35	35	35	35	
Math-42	65	319	65	384	369	65	65	65	
Math-43	47	125	46	47	97	47	53	79	
Math-44	12	111	308	187	85	12	12	12	
Math-45	2	7	479	1222	2	2	2	2	
Math-46	1	16	7	652	1	1	1	2	
Math-47	3	14	16	3	3	3	3	18	
Math-48	355	680	320	1065	392	355	355	355	
Math-49	7	412	131	1428	9	7	7	7	
Math-50	1	62	4	1029	1	1	1	1	
Math-52	22	368	27	892	308	22	22	22	
Math-53	2	13	7	161	13	2	2	2	
Math-54	7	500	59	1927	7	7	7	7	
Math-55	1	23	4	507	16	1	1	1	
Math-57	332	332	332	2511	2510	332	332	332	
Math-58	192	56	37	572	198	192	192	192	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	11	31	6	11	11	11	11	11	
Math-65	4	235	52	441	4	4	4	4	
Math-66	9	6	9	9	10	10	10	519	
Math-68	20	12	20	20	202	20	20	20	
Math-69	12	17	10	13	14	12	12	12	
Math-74	814	970	74	404	853	814	814	814	
Math-76	5	91	245	5	5	5	5	5	
Math-79	30	3	24	436	30	30	30	30	
Math-81	302	144	302	410	302	302	302	302	
Math-82	208	207	208	1958	1949	208	208	208	
Math-83	83	196	82	203	197	83	83	83	
Math-84	78	78	78	78	52	78	101	106	
Math-85	66	110	40	216	66	66	66	66	
Math-86	4	75	4	4	74	61	61	100	
Math-87	110	137	110	15	163	110	110	110	
Math-88	1	208	19	232	1	1	1	1	
Math-89	1	4	1	97	4	1	1	1	
Math-90	6	4	6	98	25	6	6	6	
Math-92	2	14	4	53	2	2	2	2	
Math-93	2	2	21	114	3	2	2	2	
Math-94	1	1	1	184	1	1	1	1	
Math-95	9	49	12	234	13	9	9	9	
Math-96	3	14	10	91	12	3	3	3	
Math-97	1	9	22	73	1	1	1	1	
Math-98	4	27	39	774	4	4	4	4	
Math-99	27	24	23	178	27	8	7	4	
Math-100	8	142	175	274	14	8	8	8	
Math-101	9	36	7	91	32	9	9	9	
Math-103	32	40	2	81	71	32	32	32	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	3	1	3	3	75	3	3	14	
Mockito-3	1	460	129	1	1	1	1	3	
Mockito-5	3090	2914	925	1507	2914	2914	1350	1350	
Mockito-6	856	861	345	1649	825	2	1	1	
Mockito-9	517	433	652	169	81	534	534	534	
Mockito-10	11	402	348	87	46	11	11	11	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-12	5	5	5	5	2	2	2	2	
Mockito-13	20	507	14	373	286	20	20	20	
Mockito-14	43	489	14	66	74	43	43	43	
Mockito-16	28	327	193	104	85	28	28	28	
Mockito-17	4	19	13	69	4	4	4	4	
Mockito-18	9	247	9	372	264	9	9	9	
Mockito-20	30	124	39	30	358	66	87	118	
Mockito-21	1	8	3	244	2	1	1	1	
Mockito-22	11	2	4	332	211	11	11	11	
Mockito-23	4	555	337	287	4	4	4	4	
Mockito-24	1	525	691	2407	1	1	1	1	
Mockito-25	46	417	67	46	46	61	62	73	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-28	454	420	454	496	439	454	454	454	
Mockito-29	1350	1007	752	805	1007	1007	767	767	
Mockito-32	2	347	534	24	24	2	2	2	
Mockito-33	21	339	21	717	287	46	46	114	
Mockito-34	26	281	14	813	359	48	48	52	
Mockito-35	423	426	111	958	372	1	1	4	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-37	3	31	3	611	380	4	4	4	
Mockito-38	1192	811	410	719	811	811	655	655	
Time-1	3	134	778	2197	3	3	3	3	
Time-2	3	279	1456	3493	3	3	3	3	
Time-3	1	775	725	136	191	1	1	1	
Time-4	29	675	1105	3488	238	29	29	29	
Time-5	2	63	352	1735	192	2	26	68	
Time-7	14	383	1725	5928	204	14	14	14	
Time-8	9	69	1054	2056	9	9	9	9	
Time-9	3	67	1042	2030	3	3	3	3	
Time-10	154	411	870	2994	344	160	160	165	
Time-11	412	300	402	1802	1207	412	412	412	
Time-12	1532	1533	1066	2543	1235	20	3	2	
Time-14	2	1490	1001	2	2	3	3	3	
Time-15	2	2	59	115	2	2	2	2	
Time-17	1	488	1206	3527	1	1	1	1	
