Chart-1	812	875	922	812	587	765	563	119	
Chart-2	155	113	120	275	155	110	110	110	
Chart-3	4	97	12	537	27	4	4	4	
Chart-4	747	746	746	747	400	528	296	2283	
Chart-5	6	28	5	204	16	6	6	6	
Chart-6	20	20	20	20	3	15	15	89	
Chart-7	44	50	44	44	72	44	44	80	
Chart-8	1	9	2	67	32	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	6	6	5	6	6	5	5	6	
Chart-12	3	12	240	1317	3	3	3	20	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	31	31	31	31	1	1	1	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	55	55	55	55	25	1	1	20	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	1040	1092	1681	1040	134	134	134	667	
Lang-1	3	33	17	372	21	3	3	3	
Lang-2	17	9	17	23	26	17	17	17	
Lang-3	50	52	39	50	50	15	15	43	
Lang-4	2	2	2	2	2	2	2	34	
Lang-5	6	12	6	37	15	6	6	6	
Lang-6	15	15	15	15	15	15	14	64	
Lang-7	121	138	15	129	121	121	121	121	
Lang-9	62	62	62	62	62	62	62	481	
Lang-10	71	71	71	71	71	71	71	575	
Lang-12	3	4	3	3	3	3	3	4	
Lang-14	5	5	4	5	5	4	4	5	
Lang-15	12	183	9	12	12	12	191	217	
Lang-16	27	22	34	443	45	27	27	27	
Lang-17	5	5	5	5	5	5	5	216	
Lang-18	88	88	88	88	88	88	88	10	
Lang-19	6	14	6	30	17	8	8	8	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	14	33	15	15	79	
Lang-26	7	116	7	184	128	7	7	7	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	3	30	11	53	12	3	3	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	2	2	2	2	2	2	2	3	
Lang-34	227	227	227	227	1	1	1	166	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	6	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	13	53	44	297	13	13	13	13	
Lang-44	3	3	3	166	3	3	3	3	
Lang-46	1	3	1	74	3	1	1	1	
Lang-47	35	35	5	962	35	5	5	5	
Lang-48	9	9	5	9	5	5	5	34	
Lang-50	134	141	42	135	115	15	8	2	
Lang-53	191	123	40	9	123	123	120	120	
Lang-54	4	15	3	74	11	4	4	4	
Lang-55	7	14	7	23	17	7	7	7	
Lang-59	6	12	6	880	6	6	6	6	
Lang-60	71	85	56	386	70	45	19	16	
Lang-61	46	49	49	167	46	13	16	80	
Lang-62	161	157	121	175	157	157	157	157	
Lang-63	1	25	20	111	1	1	1	1	
Lang-64	1	36	4	138	4	1	1	1	
Lang-65	7	9	2	123	9	7	7	7	
Math-1	357	407	742	1083	40	12	12	7	
Math-2	38	34	38	253	118	38	38	38	
Math-6	4	4	4	4	11	11	14	166	
Math-7	427	429	386	427	249	119	119	2	
Math-11	31	35	3	910	400	31	31	31	
Math-13	114	134	114	114	114	114	114	1120	
Math-14	77	77	74	77	74	74	74	959	
Math-15	13	13	122	13	13	2	2	3	
Math-16	1	1	6	1	1	2	2	84	
Math-17	594	596	594	594	594	594	591	107	
Math-21	42	115	66	63	80	42	42	47	
Math-23	104	103	106	104	123	104	107	19	
Math-24	3	92	3	3	159	3	3	57	
Math-26	84	75	75	84	20	14	14	30	
Math-27	1	28	106	294	1	1	1	1	
Math-28	13	209	1	298	267	13	13	13	
Math-29	197	198	125	161	159	6	6	6	
Math-30	28	266	25	2469	266	28	28	28	
Math-31	270	270	270	270	266	267	136	362	
Math-33	26	103	26	353	358	26	26	26	
Math-34	3	15	18	147	3	3	3	3	
Math-35	9	14	9	9	8	9	9	8	
Math-36	367	364	367	367	368	367	368	91	
Math-37	247	247	238	452	230	12	5	3	
Math-40	144	146	121	144	55	17	17	49	
Math-41	35	84	258	642	35	35	35	35	
Math-42	71	319	71	339	326	71	71	71	
Math-43	160	157	160	160	173	160	161	229	
Math-44	143	143	143	143	143	143	143	13	
Math-45	7	7	6	7	2	2	2	131	
Math-46	1	16	7	655	1	1	1	2	
Math-47	11	11	11	11	11	11	11	275	
Math-48	355	680	3	580	705	355	355	355	
Math-49	7	412	131	1428	9	7	7	7	
Math-50	1	62	3	896	1	1	1	1	
Math-52	22	368	27	892	308	22	22	22	
Math-53	16	16	6	16	13	2	2	14	
Math-54	7	471	26	7	7	7	7	371	
Math-55	1	23	4	525	16	1	1	1	
Math-57	371	371	371	371	2527	371	371	423	
Math-58	504	56	504	92	240	504	504	504	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	77	88	77	77	77	77	77	23	
Math-65	1	226	1	1	347	1	56	6	
Math-66	9	6	9	9	9	9	9	12	
Math-68	104	60	104	104	104	104	104	43	
Math-69	12	17	10	65	131	12	12	12	
Math-74	50	118	59	50	5	5	5	427	
Math-76	69	91	69	377	451	69	69	70	
Math-79	30	3	16	441	30	30	30	30	
Math-81	26	26	26	26	26	26	26	304	
Math-82	169	169	169	169	169	169	169	196	
Math-83	136	135	200	136	200	142	142	255	
Math-84	93	93	93	93	93	93	108	116	
Math-85	32	63	56	32	17	21	21	62	
Math-86	4	75	4	108	74	57	57	61	
Math-87	13	114	13	13	120	28	28	29	
Math-88	1	208	1	269	135	1	1	1	
Math-89	1	4	1	97	4	1	1	1	
Math-90	4	4	4	4	4	4	4	27	
Math-92	2	6	5	1	2	2	2	2	
Math-93	2	2	21	114	3	2	2	2	
Math-94	1	1	1	1	1	1	1	2	
Math-95	9	49	12	236	13	9	9	9	
Math-96	19	19	9	19	16	7	7	9	
Math-97	4	12	4	4	1	1	1	25	
Math-98	4	27	39	774	4	4	4	4	
Math-99	20	20	20	20	19	19	19	5	
Math-100	9	142	175	284	28	9	9	9	
Math-101	58	58	35	58	57	33	33	55	
Math-103	32	40	2	83	47	32	32	32	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	37	37	1	37	348	4	9	91	
Mockito-3	720	708	474	720	498	1	1	7	
Mockito-5	3090	2914	925	1507	2914	2914	1350	1350	
Mockito-6	1174	1228	1231	1174	1151	1141	909	6	
