Chart-1	35	212	241	2512	47	35	35	35	
Chart-2	137	108	67	278	134	92	92	92	
Chart-3	4	97	12	537	27	4	4	4	
Chart-4	23	353	201	23	56	173	179	682	
Chart-5	6	28	5	204	16	6	6	6	
Chart-6	7	7	3	106	20	48	48	95	
Chart-7	74	72	74	86	69	74	74	74	
Chart-8	1	9	2	67	32	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	5	5	34	86	5	5	5	5	
Chart-12	6	14	509	2492	6	6	6	6	
Chart-15	34	552	887	5457	34	34	34	34	
Chart-16	1	14	1	1	1	1	1	2	
Chart-17	2	63	31	545	2	2	2	2	
Chart-20	5	1	1	85	23	5	5	5	
Chart-21	9	68	13	100	16	9	9	9	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	134	371	1445	134	134	134	134	667	
Lang-1	3	33	17	372	21	3	3	3	
Lang-2	17	9	17	23	26	17	17	17	
Lang-3	10	43	39	120	10	10	10	10	
Lang-4	5	2	5	12	5	5	5	5	
Lang-5	6	12	6	37	15	6	6	6	
Lang-6	17	16	114	341	17	17	17	17	
Lang-7	121	138	15	129	121	121	121	121	
Lang-9	54	38	54	54	232	54	54	69	
Lang-10	101	58	101	101	241	101	102	218	
Lang-12	3	4	3	3	3	3	3	4	
Lang-14	4	5	4	292	5	4	4	4	
Lang-15	12	183	9	12	12	12	191	217	
Lang-16	27	22	34	443	45	27	27	27	
Lang-17	116	33	116	26	1120	116	116	116	
Lang-18	4	44	4	6	4	4	4	4	
Lang-19	6	14	6	30	17	8	8	8	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	14	22	14	79	35	26	26	32	
Lang-26	7	116	7	184	128	7	7	7	
Lang-27	127	146	49	486	145	127	127	127	
Lang-28	3	30	11	53	12	3	3	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	4	5	7	141	4	4	4	6	
Lang-32	3	3	3	3	3	3	3	3	
Lang-34	1	105	1	1	273	49	49	115	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	6	25	6	950	25	6	6	6	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	2	4	10	1073	2	2	2	2	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	13	53	44	297	13	13	13	13	
Lang-44	3	3	3	166	3	3	3	3	
Lang-46	1	3	1	74	3	1	1	1	
Lang-47	35	35	5	962	35	5	5	5	
Lang-48	2	9	2	5	6	2	2	2	
Lang-50	134	141	42	135	115	15	8	2	
Lang-53	191	123	40	9	123	123	120	120	
Lang-54	4	15	3	74	11	4	4	4	
Lang-55	7	14	7	23	17	7	7	7	
Lang-59	6	12	6	880	6	6	6	6	
Lang-60	2	49	135	324	2	2	2	2	
Lang-61	8	49	16	426	8	14	21	21	
Lang-62	161	157	121	175	157	157	157	157	
Lang-63	1	25	20	111	1	1	1	1	
Lang-64	1	36	4	138	4	1	1	1	
Lang-65	7	9	2	123	9	7	7	7	
Math-1	357	407	742	1083	40	12	12	7	
Math-2	38	34	38	253	118	38	38	38	
Math-6	45	23	67	45	312	69	299	134	
Math-7	49	358	419	1176	93	49	49	49	
Math-11	31	35	3	910	400	31	31	31	
Math-13	163	177	126	332	163	163	163	163	
Math-14	99	98	99	59	123	99	99	99	
Math-15	2	13	1168	13	2	2	2	2	
Math-16	2	591	1168	1	2	2	2	1	
Math-17	82	480	26	720	672	82	82	82	
Math-21	42	115	66	63	80	42	42	47	
Math-23	150	243	150	113	138	150	150	150	
Math-24	149	101	111	159	310	149	149	149	
Math-26	37	42	14	504	100	37	37	37	
Math-27	1	28	106	294	1	1	1	1	
Math-28	13	209	1	298	267	13	13	13	
Math-29	197	198	125	161	159	6	6	6	
Math-30	28	266	25	2469	266	28	28	28	
Math-31	29	35	1	457	262	95	119	194	
Math-33	26	103	26	353	358	26	26	26	
Math-34	3	15	18	147	3	3	3	3	
Math-35	9	14	9	9	8	9	9	8	
Math-36	355	355	1	28	355	1	1	1	
Math-37	247	247	238	452	230	12	5	3	
Math-40	30	97	115	479	40	30	30	30	
Math-41	35	84	258	642	35	35	35	35	
Math-42	71	319	71	339	326	71	71	71	
Math-43	44	125	44	44	199	52	59	85	
Math-44	5	111	312	194	49	5	5	5	
Math-45	2	7	2	609	2	2	2	2	
Math-46	1	16	7	655	1	1	1	2	
Math-47	3	14	16	3	3	3	3	18	
Math-48	355	680	3	580	705	355	355	355	
Math-49	7	412	131	1428	9	7	7	7	
Math-50	1	62	3	896	1	1	1	1	
Math-52	22	368	27	892	308	22	22	22	
Math-53	2	13	7	124	13	2	2	2	
Math-54	7	500	30	2073	598	7	7	7	
Math-55	1	23	4	525	16	1	1	1	
Math-57	332	332	332	2511	2510	332	332	332	
Math-58	504	56	504	92	240	504	504	504	
Math-62	325	325	325	2061	2059	325	325	325	
Math-64	11	31	6	11	11	11	11	11	
Math-65	4	235	56	312	4	4	4	4	
Math-66	9	6	9	9	10	10	10	519	
Math-68	60	12	60	60	20	60	60	60	
Math-69	12	17	10	65	131	12	12	12	
Math-74	900	970	639	4590	939	900	900	900	
Math-76	69	91	69	377	451	69	69	70	
Math-79	30	3	16	441	30	30	30	30	
Math-81	302	144	302	410	302	302	302	302	
Math-82	208	207	208	1958	1949	208	208	208	
Math-83	83	196	83	123	113	83	83	83	
Math-84	78	78	78	78	52	78	101	106	
Math-85	66	110	40	216	66	66	66	66	
Math-86	4	75	4	108	74	57	57	61	
Math-87	117	137	117	143	150	117	117	117	
Math-88	1	208	1	269	135	1	1	1	
Math-89	1	4	1	97	4	1	1	1	
Math-90	6	4	6	98	25	6	6	6	
Math-92	2	14	5	39	2	2	2	2	
Math-93	2	2	21	114	3	2	2	2	
Math-94	1	1	1	184	1	1	1	1	
Math-95	9	49	12	236	13	9	9	9	
Math-96	4	14	9	37	13	4	4	4	
Math-97	2	9	1	71	2	2	2	2	
Math-98	4	27	39	774	4	4	4	4	
Math-99	27	24	23	178	27	8	7	4	
Math-100	9	142	175	284	28	9	9	9	
Math-101	12	36	12	94	36	12	12	12	
Math-103	32	40	2	83	47	32	32	32	
Math-105	25	25	65	37	25	25	25	25	
Mockito-2	3	1	3	3	78	3	3	16	
Mockito-3	1	460	125	1	1	1	1	3	
Mockito-5	3090	2914	925	1507	2914	2914	1350	1350	
Mockito-6	856	861	345	1659	829	2	1	1	
Mockito-9	517	433	575	168	81	534	534	534	
Mockito-10	11	402	348	87	46	11	11	11	
Mockito-11	1	17	66	687	1	1	1	1	
Mockito-12	5	5	5	5	2	2	2	2	
Mockito-13	28	507	23	373	304	28	28	28	
Mockito-14	42	489	12	66	74	42	42	42	
Mockito-16	28	327	195	119	85	28	28	28	
Mockito-17	4	19	19	69	4	4	4	4	
Mockito-18	9	247	9	372	264	9	9	9	
Mockito-20	30	124	39	30	358	53	99	119	
Mockito-21	1	8	3	223	2	1	1	1	
Mockito-22	11	2	4	332	211	11	11	11	
Mockito-23	4	555	337	284	4	4	4	4	
Mockito-24	1	525	691	2407	1	1	1	1	
Mockito-25	46	417	67	46	46	61	62	73	
Mockito-26	29	34	636	1238	435	113	126	221	
Mockito-27	228	484	453	995	225	12	12	12	
Mockito-28	476	420	1184	312	305	476	476	476	
Mockito-29	1323	1007	818	880	1007	1007	767	767	
Mockito-32	2	347	534	24	24	2	2	2	
Mockito-33	21	339	21	692	297	46	47	118	
Mockito-34	26	281	14	801	353	48	48	52	
Mockito-35	423	426	108	947	373	1	1	4	
Mockito-36	13	219	705	324	229	29	29	98	
Mockito-37	2	31	2	600	380	3	3	3	
Mockito-38	1250	811	292	658	811	811	657	657	
Time-1	2	134	966	2793	2	2	2	2	
Time-2	2	279	1530	3687	2	2	2	2	
Time-3	1	775	725	137	210	1	1	1	
Time-4	29	675	900	3039	778	29	29	29	
Time-5	2	63	346	1735	192	2	26	68	
Time-7	14	383	1762	5174	204	14	14	14	
Time-8	7	69	1119	2325	7	7	7	7	
Time-9	3	67	1032	1846	3	3	3	3	
Time-10	154	411	908	2997	344	160	160	165	
Time-11	412	300	402	1802	1207	412	412	412	
Time-12	1532	1533	1066	2543	1235	20	3	2	
Time-14	2	1490	997	2	2	3	3	3	
Time-15	2	2	55	96	2	2	2	2	
Time-17	1	488	1206	3527	1	1	1	1	
