Chart-1	659	703	566	1991	341	38	38	91	
Chart-2	74	78	61	175	71	60	60	111	
Chart-3	4	95	15	4	4	4	4	12	
Chart-4	721	735	722	721	260	343	153	1469	
Chart-5	6	28	5	204	16	6	6	6	
Chart-6	27	27	27	27	19	27	27	100	
Chart-7	35	48	35	35	35	35	35	170	
Chart-8	1	9	2	1	1	1	1	1	
Chart-9	14	192	93	868	33	14	14	14	
Chart-11	6	6	5	6	6	5	5	6	
Chart-12	3	12	388	56	3	3	3	47	
Chart-15	360	945	1132	5382	359	120	120	120	
Chart-16	31	31	31	31	31	31	31	2	
Chart-17	104	110	134	493	37	12	12	9	
Chart-20	81	81	81	81	1	1	1	39	
Chart-21	3	68	13	3	3	3	3	6	
Chart-22	57	61	55	56	55	47	8	11	
Chart-25	3133	3267	3116	3133	2964	3133	2964	163	
Chart-26	285	510	1541	285	134	134	134	667	
Lang-1	3	33	17	3	3	3	3	5	
Lang-2	11	11	2	11	2	2	2	38	
Lang-3	12	43	34	12	12	12	17	93	
Lang-4	2	2	2	2	2	2	2	34	
Lang-5	14	14	5	14	5	5	5	28	
Lang-6	111	111	112	111	91	95	95	188	
Lang-7	150	144	125	217	150	132	132	132	
Lang-9	62	62	62	62	62	62	62	468	
Lang-10	71	71	71	71	71	71	71	408	
Lang-12	4	4	4	4	5	4	5	5	
Lang-14	5	5	4	5	5	4	4	4	
Lang-15	8	180	8	8	8	8	33	227	
Lang-16	27	22	34	443	45	27	27	27	
Lang-17	5	5	5	5	5	5	5	154	
Lang-18	95	93	100	95	100	100	101	5	
Lang-19	28	31	28	28	33	28	32	31	
Lang-20	27	28	8	1228	27	8	8	8	
Lang-22	38	25	38	38	35	38	42	73	
Lang-26	174	176	174	174	40	160	152	51	
Lang-27	156	152	53	486	156	138	138	138	
Lang-28	22	43	17	35	29	4	4	3	
Lang-30	25	25	25	6	6	3	3	5	
Lang-31	26	26	26	113	7	6	23	34	
Lang-32	2	2	2	2	2	2	2	62	
Lang-34	227	227	227	227	60	64	64	182	
Lang-36	42	37	23	60	42	42	42	93	
Lang-37	25	25	6	70	25	6	6	9	
Lang-39	27	26	35	1085	27	27	27	27	
Lang-40	7	9	12	1073	7	7	7	7	
Lang-41	38	38	5	35	38	6	6	6	
Lang-42	15	45	14	25	15	15	19	31	
Lang-44	3	3	3	3	3	3	3	15	
Lang-46	3	3	1	3	1	1	1	6	
Lang-47	35	38	14	371	35	5	6	6	
Lang-48	9	9	9	9	5	9	8	68	
Lang-50	134	141	42	135	115	15	8	2	
Lang-53	91	54	40	39	91	91	91	91	
Lang-54	22	21	10	72	22	22	20	15	
Lang-55	14	14	14	14	27	14	16	33	
Lang-59	6	12	6	880	6	6	6	6	
Lang-60	58	58	33	554	45	20	27	11	
Lang-61	46	55	46	521	46	13	70	87	
Lang-62	231	190	128	139	190	190	190	190	
Lang-63	20	20	23	20	20	20	20	22	
Lang-64	42	42	4	42	38	1	1	1	
Lang-65	4	4	2	4	4	2	2	36	
Math-1	520	520	763	1085	520	55	48	12	
Math-2	90	182	82	90	10	10	11	25	
Math-6	4	4	4	4	11	11	13	92	
Math-7	468	489	306	468	305	64	58	107	
Math-11	31	35	3	910	400	31	31	31	
